Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-2.5-flash-lite	OVERALL	ALL	447	119	328	0	0	26.62	0.0	0.0	2589.43	0.21593
text-only-google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	149	30	119	0	0	20.13	0.0	0.0	510.87	0.035708
text-only-google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	151	40	111	0	0	26.49	0.0	0.0	919.05	0.075393
text-only-google/gemini-2.5-flash-lite	submodality	visual.short.png	147	49	98	0	0	33.33	0.0	0.0	1159.52	0.10483
text-only-google/gemini-2.5-flash-lite	piece_id	Anonymous_AusMeinesHerzensGrunde	43	7	36	0	0	16.28	0.0	0.0	164.31	0.011391
text-only-google/gemini-2.5-flash-lite	piece_id	Bach_IchStehAnDeinerKrippe	57	17	40	0	0	29.82	0.0	0.0	360.26	0.031439
text-only-google/gemini-2.5-flash-lite	piece_id	Crueger_AufAufMeinHerzMitFreuden	38	3	35	0	0	7.89	0.0	0.0	250.53	0.022573
text-only-google/gemini-2.5-flash-lite	piece_id	Drese_JesuGehVoran	29	7	22	0	0	24.14	0.0	0.0	226.17	0.019262
text-only-google/gemini-2.5-flash-lite	piece_id	Gesius_BefiehlDuDeineWege	47	8	39	0	0	17.02	0.0	0.0	284.19	0.021939
text-only-google/gemini-2.5-flash-lite	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	15	28	0	0	34.88	0.0	0.0	291.29	0.022954
text-only-google/gemini-2.5-flash-lite	piece_id	Jan_DuGrosserSchmerzensmann	43	12	31	0	0	27.91	0.0	0.0	176.4	0.01386
text-only-google/gemini-2.5-flash-lite	piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	15	34	0	0	30.61	0.0	0.0	257.44	0.020582
text-only-google/gemini-2.5-flash-lite	piece_id	Vulpius_ChristusDerIstMeinLeben	63	26	37	0	0	41.27	0.0	0.0	299.76	0.027862
text-only-google/gemini-2.5-flash-lite	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	9	26	0	0	25.71	0.0	0.0	279.09	0.024066
text-only-google/gemini-2.5-flash-lite	is_nota_correct	0	360	79	281	0	0	21.94	0.0	0.0	2113.26	0.174296
text-only-google/gemini-2.5-flash-lite	is_nota_correct	1	87	40	47	0	0	45.98	0.0	0.0	476.18	0.041635
text-only-google/gemini-2.5-flash-lite	meta-question_id	0	38	5	33	0	0	13.16	0.0	0.0	154.46	0.012611
text-only-google/gemini-2.5-flash-lite	meta-question_id	1	36	5	31	0	0	13.89	0.0	0.0	85.59	0.006438
text-only-google/gemini-2.5-flash-lite	meta-question_id	2	40	9	31	0	0	22.5	0.0	0.0	225.5	0.019312
