Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-2.0-flash-lite-001	OVERALL	ALL	223	56	167	23	2	25.11	13.77	1.2	1152.13	0.017275
text-only-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	74	24	50	1	0	32.43	2.0	0.0	169.58	0.005189
text-only-google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	77	17	60	13	1	22.08	21.67	1.67	504.09	0.006794
text-only-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	72	15	57	9	1	20.83	15.79	1.75	478.46	0.005292
text-only-google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	32	5	27	6	0	15.62	22.22	0.0	85.61	0.002678
text-only-google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	27	11	16	2	1	40.74	12.5	6.25	371.22	0.001706
text-only-google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	23	8	15	4	1	34.78	26.67	6.67	361.46	0.001935
text-only-google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	32	5	27	3	0	15.62	11.11	0.0	73.13	0.002417
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	18	8	10	0	0	44.44	0.0	0.0	44.65	0.00132
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	27	4	23	1	0	14.81	4.35	0.0	59.04	0.002002
text-only-google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	7	4	3	0	0	57.14	0.0	0.0	18.83	0.000706
text-only-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	10	1	9	0	0	10.0	0.0	0.0	29.17	0.000983
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	29	8	21	6	0	27.59	28.57	0.0	61.5	0.001855
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	18	2	16	1	0	11.11	6.25	0.0	47.52	0.001674
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	0	180	38	142	21	2	21.11	14.79	1.41	1042.33	0.013448
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	1	43	18	25	2	0	41.86	8.0	0.0	109.8	0.003827
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	0	20	4	16	0	0	20.0	0.0	0.0	47.89	0.00134
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	1	18	4	14	0	0	22.22	0.0	0.0	63.86	0.001284
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	2	19	3	16	4	2	15.79	25.0	12.5	638.63	0.001359
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	3	21	6	15	1	0	28.57	6.67	0.0	49.87	0.001634
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	4	37	11	26	1	0	29.73	3.85	0.0	89.16	0.003101
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	5	18	7	11	0	0	38.89	0.0	0.0	39.34	0.001226
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	6	19	2	17	0	0	10.53	0.0	0.0	64.41	0.001949
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	7	17	6	11	2	0	35.29	18.18	0.0	48.89	0.001633
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	8	35	7	28	12	0	20.0	42.86	0.0	72.26	0.002486
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	9	19	6	13	3	0	31.58	23.08	0.0	37.84	0.001265
text-only-google/gemini-2.0-flash-lite-001	category	harmony	71	19	52	17	0	26.76	32.69	0.0	158.98	0.005384
