Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-gpt-4o	OVERALL	ALL	108	14	94	32	37	12.96	34.04	39.36	10921.79	0.180317
text-only-aggregate-gpt-4o	submodality	audio.mastermix.wav	37	0	37	0	37	0.0	0.0	100.0	10698.85	0.0
text-only-aggregate-gpt-4o	submodality	symbolic.musicxml	36	10	26	3	0	27.78	11.54	0.0	169.48	0.140963
text-only-aggregate-gpt-4o	submodality	visual.short.png	35	4	31	29	0	11.43	93.55	0.0	53.46	0.039355
text-only-aggregate-gpt-4o	piece_id	Anonymous_AusMeinesHerzensGrunde	15	1	14	3	5	6.67	21.43	35.71	1439.04	0.02855
text-only-aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	23	4	19	8	8	17.39	42.11	42.11	2288.71	0.033265
text-only-aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	14	2	12	3	5	14.29	25.0	41.67	1691.8	0.025653
text-only-aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	7	1	6	1	2	14.29	16.67	33.33	577.57	0.0173
text-only-aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	9	1	8	4	3	11.11	50.0	37.5	850.78	0.011442
text-only-aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	16	4	12	4	6	25.0	33.33	50.0	1743.86	0.02526
text-only-aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	4	0	4	1	1	0.0	25.0	25.0	293.55	0.008515
text-only-aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	1	2	1	1	33.33	50.0	50.0	306.59	0.007423
text-only-aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	3	0	3	1	1	0.0	33.33	33.33	272.99	0.004772
text-only-aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	0	14	6	5	0.0	42.86	35.71	1456.88	0.018137
text-only-aggregate-gpt-4o	is_nota_correct	0	90	12	78	27	30	13.33	34.62	38.46	8864.25	0.15226
text-only-aggregate-gpt-4o	is_nota_correct	1	18	2	16	5	7	11.11	31.25	43.75	2057.54	0.028057
text-only-aggregate-gpt-4o	meta-question_id	0	11	4	7	0	3	36.36	0.0	42.86	861.86	0.023912
text-only-aggregate-gpt-4o	meta-question_id	1	6	1	5	2	2	16.67	40.0	40.0	569.46	0.00808
text-only-aggregate-gpt-4o	meta-question_id	2	10	0	10	3	4	0.0	30.0	40.0	1163.11	0.014878
text-only-aggregate-gpt-4o	meta-question_id	3	9	3	6	2	3	33.33	33.33	50.0	836.25	0.014863
text-only-aggregate-gpt-4o	meta-question_id	4	18	2	16	5	6	11.11	31.25	37.5	1676.87	0.035775
text-only-aggregate-gpt-4o	meta-question_id	5	10	1	9	4	4	10.0	44.44	44.44	1186.97	0.013848
text-only-aggregate-gpt-4o	meta-question_id	6	7	0	7	1	3	0.0	14.29	42.86	1164.2	0.01098
text-only-aggregate-gpt-4o	meta-question_id	7	12	1	11	5	4	8.33	45.45	36.36	1151.7	0.019578
text-only-aggregate-gpt-4o	meta-question_id	8	18	2	16	8	6	11.11	50.0	37.5	1761.37	0.024672
