Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	300	28.67	25.67	30.67
submodality	audio.mastermix.wav	100	30.0	24.0	29.0
submodality	symbolic.abc.txt	100	29.0	29.0	37.0
submodality	visual.short.png	100	27.0	24.0	26.0
piece_id	Anonymous_AusMeinesHerzensGrunde	18	5.56	16.67	5.56
piece_id	Bach_IchStehAnDeinerKrippe	33	21.21	12.12	15.15
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	23.33	16.67	23.33
piece_id	Drese_JesuGehVoran	39	35.9	43.59	41.03
piece_id	Gesius_BefiehlDuDeineWege	24	16.67	29.17	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	33.33	21.43	26.19
piece_id	Jan_DuGrosserSchmerzensmann	42	30.95	28.57	38.1
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	40.74	14.81	44.44
piece_id	Vulpius_ChristusDerIstMeinLeben	21	38.1	38.1	38.1
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	29.17	33.33	33.33
is_nota_correct	0	240	25.83	11.25	21.25
is_nota_correct	1	60	40.0	83.33	68.33
meta-question_id	1	30	30.0	26.67	26.67
meta-question_id	10	21	23.81	19.05	19.05
meta-question_id	11	18	22.22	11.11	27.78
meta-question_id	2	30	40.0	40.0	43.33
meta-question_id	3	30	16.67	23.33	20.0
meta-question_id	4	30	23.33	33.33	33.33
meta-question_id	5	30	36.67	13.33	26.67
meta-question_id	6	30	53.33	63.33	60.0
meta-question_id	7	30	33.33	10.0	36.67
meta-question_id	8	30	10.0	13.33	10.0
meta-question_id	9	21	19.05	19.05	28.57
category	harmony	60	21.67	16.67	25.0
category	pitch	120	27.5	30.83	30.83
category	rhythm	120	33.33	25.0	33.33
subcategory	harmonic-recognition	60	21.67	16.67	25.0
subcategory	interval-recognition	60	20.0	28.33	26.67
subcategory	pitch-recognition	60	35.0	33.33	35.0
subcategory	proportion-recognition	60	21.67	11.67	23.33
subcategory	rhythmic-recognition	60	45.0	38.33	43.33
skill	cadence recognition	18	22.22	11.11	27.78
skill	chord recognition	21	23.81	19.05	19.05
skill	interval recognition	30	16.67	23.33	20.0
skill	interval statistics	30	23.33	33.33	33.33
skill	note length	30	36.67	13.33	26.67
skill	note length statistics	30	53.33	63.33	60.0
skill	pitch recognition	30	30.0	26.67	26.67
skill	pitch statistics	30	40.0	40.0	43.33
skill	rhythm pattern	30	33.33	10.0	36.67
skill	rhythm pattern statistics	30	10.0	13.33	10.0
skill	tonality recognition	21	19.05	19.05	28.57
rel/abs	absolute	141	37.59	33.33	36.17
rel/abs	relative	159	20.75	18.87	25.79
specification	harmony-absolute	21	23.81	19.05	19.05
specification	harmony-relative	39	20.51	15.38	28.21
specification	pitch-absolute	60	35.0	33.33	35.0
specification	pitch-relative	60	20.0	28.33	26.67
specification	rhythm-absolute	60	45.0	38.33	43.33
specification	rhythm-relative	60	21.67	11.67	23.33
