Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-mistral	OVERALL	ALL	108	30	78	0	2	27.78	0.0	2.56	1043.94	0.013437
text-only-aggregate-mistral	submodality	audio.mastermix.wav	37	11	26	0	0	29.73	0.0	0.0	236.52	0.009786
text-only-aggregate-mistral	submodality	symbolic.musicxml	36	12	24	0	1	33.33	0.0	4.17	413.09	0.001934
text-only-aggregate-mistral	submodality	visual.short.png	35	7	28	0	1	20.0	0.0	3.57	394.33	0.001717
text-only-aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	15	3	12	0	1	20.0	0.0	8.33	344.11	0.00085
text-only-aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	23	5	18	0	0	21.74	0.0	0.0	34.63	0.00109
text-only-aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	14	6	8	0	0	42.86	0.0	0.0	38.05	0.000749
text-only-aggregate-mistral	piece_id	Drese_JesuGehVoran	7	1	6	0	0	14.29	0.0	0.0	27.83	0.000494
text-only-aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	9	4	5	0	0	44.44	0.0	0.0	207.31	0.008119
text-only-aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	16	5	11	0	1	31.25	0.0	9.09	335.87	0.000853
text-only-aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	4	1	3	0	0	25.0	0.0	0.0	5.35	0.000171
text-only-aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	3	0	0	0	100.0	0.0	0.0	4.41	0.000141
text-only-aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	3	1	2	0	0	33.33	0.0	0.0	14.27	0.000284
text-only-aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	1	13	0	0	7.14	0.0	0.0	32.1	0.000687
text-only-aggregate-mistral	is_nota_correct	0	90	24	66	0	2	26.67	0.0	3.03	991.83	0.012335
text-only-aggregate-mistral	is_nota_correct	1	18	6	12	0	0	33.33	0.0	0.0	52.11	0.001102
text-only-aggregate-mistral	meta-question_id	0	11	2	9	0	1	18.18	0.0	11.11	348.52	0.000556
text-only-aggregate-mistral	meta-question_id	1	6	1	5	0	0	16.67	0.0	0.0	202.68	0.007926
text-only-aggregate-mistral	meta-question_id	2	10	0	10	0	0	0.0	0.0	0.0	20.83	0.00044
text-only-aggregate-mistral	meta-question_id	3	9	1	8	0	0	11.11	0.0	0.0	13.18	0.000421
text-only-aggregate-mistral	meta-question_id	4	18	9	9	0	0	50.0	0.0	0.0	39.9	0.000901
text-only-aggregate-mistral	meta-question_id	5	10	5	5	0	0	50.0	0.0	0.0	19.49	0.000569
text-only-aggregate-mistral	meta-question_id	6	7	1	6	0	0	14.29	0.0	0.0	19.67	0.000428
text-only-aggregate-mistral	meta-question_id	7	12	5	7	0	0	41.67	0.0	0.0	29.8	0.000838
text-only-aggregate-mistral	meta-question_id	8	18	4	14	0	1	22.22	0.0	7.14	339.48	0.001033
text-only-aggregate-mistral	meta-question_id	9	7	2	5	0	0	28.57	0.0	0.0	10.38	0.000324
text-only-aggregate-mistral	category	harmony	37	11	26	0	1	29.73	0.0	3.85	379.66	0.002196
text-only-aggregate-mistral	category	pitch	36	4	32	0	1	11.11	0.0	3.12	585.22	0.009343
text-only-aggregate-mistral	category	rhythm	35	15	20	0	0	42.86	0.0	0.0	79.07	0.001898
text-only-aggregate-mistral	subcategory	harmony-absolute	18	4	14	0	1	22.22	0.0	7.14	339.48	0.001033
text-only-aggregate-mistral	subcategory	harmony-relative	19	7	12	0	0	36.84	0.0	0.0	40.18	0.001162
text-only-aggregate-mistral	subcategory	pitch-absolute	17	3	14	0	1	17.65	0.0	7.14	551.2	0.008483
text-only-aggregate-mistral	subcategory	pitch-relative	19	1	18	0	0	5.26	0.0	0.0	34.01	0.000861
text-only-aggregate-mistral	subcategory	rhythm-absolute	18	9	9	0	0	50.0	0.0	0.0	39.9	0.000901
text-only-aggregate-mistral	subcategory	rhythm-relative	17	6	11	0	0	35.29	0.0	0.0	39.16	0.000997
text-only-aggregate-mistral	skill	cadence recognition	7	2	5	0	0	28.57	0.0	0.0	10.38	0.000324
text-only-aggregate-mistral	skill	chord recognition	18	4	14	0	1	22.22	0.0	7.14	339.48	0.001033
text-only-aggregate-mistral	skill	interval recognition	10	0	10	0	0	0.0	0.0	0.0	20.83	0.00044
text-only-aggregate-mistral	skill	interval statistics	9	1	8	0	0	11.11	0.0	0.0	13.18	0.000421
text-only-aggregate-mistral	skill	note length	18	9	9	0	0	50.0	0.0	0.0	39.9	0.000901
text-only-aggregate-mistral	skill	pitch recognition	11	2	9	0	1	18.18	0.0	11.11	348.52	0.000556
text-only-aggregate-mistral	skill	pitch statistics	6	1	5	0	0	16.67	0.0	0.0	202.68	0.007926
text-only-aggregate-mistral	skill	rhythm pattern	7	1	6	0	0	14.29	0.0	0.0	19.67	0.000428
text-only-aggregate-mistral	skill	time signature	10	5	5	0	0	50.0	0.0	0.0	19.49	0.000569
text-only-aggregate-mistral	skill	tonality recognition	12	5	7	0	0	41.67	0.0	0.0	29.8	0.000838
text-only-aggregate-mistral	rel/abs	absolute	53	16	37	0	2	30.19	0.0	5.41	930.58	0.010417
text-only-aggregate-mistral	rel/abs	relative	55	14	41	0	0	25.45	0.0	0.0	113.35	0.00302
