Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	461	174	287	1	2	37.74	0.35	0.7	2084.07	0.332705
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	148	58	90	0	0	39.19	0.0	0.0	720.63	0.015045
google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	156	63	93	1	0	40.38	1.08	0.0	656.58	0.299209
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	157	53	104	0	2	33.76	0.0	1.92	706.86	0.01845
google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	56	17	39	0	0	30.36	0.0	0.0	238.48	0.05052
google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	60	15	45	1	0	25.0	2.22	0.0	317.37	0.041879
google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	26	5	21	0	0	19.23	0.0	0.0	145.23	0.022036
google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	40	20	20	0	1	50.0	0.0	5.0	243.73	0.025276
google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	49	17	32	0	0	34.69	0.0	0.0	223.86	0.040225
google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	45	18	27	0	0	40.0	0.0	0.0	182.26	0.028761
google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	50	20	30	0	1	40.0	0.0	3.33	227.73	0.040535
google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	43	25	18	0	0	58.14	0.0	0.0	178.0	0.037337
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	57	23	34	0	0	40.35	0.0	0.0	222.11	0.028069
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	14	21	0	0	40.0	0.0	0.0	105.3	0.018067
