Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-gpt-5-full	OVERALL	ALL	300	111	189	38	0	37.0	20.11	0.0	992.71	1.944835
aggregate-gpt-5-full	submodality	audio.mastermix.wav	100	13	87	38	0	13.0	43.68	0.0	479.74	1.442727
aggregate-gpt-5-full	submodality	symbolic.abc.txt	100	52	48	0	0	52.0	0.0	0.0	259.22	0.346007
aggregate-gpt-5-full	submodality	visual.short.png	100	46	54	0	0	46.0	0.0	0.0	253.74	0.1561
aggregate-gpt-5-full	piece_id	Anonymous_AusMeinesHerzensGrunde	18	3	15	3	0	16.67	20.0	0.0	58.17	0.147566
aggregate-gpt-5-full	piece_id	Bach_IchStehAnDeinerKrippe	33	10	23	3	0	30.3	13.04	0.0	115.63	0.235553
aggregate-gpt-5-full	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	14	16	0	0	46.67	0.0	0.0	132.9	0.253837
aggregate-gpt-5-full	piece_id	Drese_JesuGehVoran	39	13	26	6	0	33.33	23.08	0.0	113.82	0.210265
aggregate-gpt-5-full	piece_id	Gesius_BefiehlDuDeineWege	24	6	18	6	0	25.0	33.33	0.0	81.42	0.162849
aggregate-gpt-5-full	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	16	26	7	0	38.1	26.92	0.0	137.21	0.249099
aggregate-gpt-5-full	piece_id	Jan_DuGrosserSchmerzensmann	42	16	26	4	0	38.1	15.38	0.0	140.11	0.280255
aggregate-gpt-5-full	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	14	13	5	0	51.85	38.46	0.0	88.72	0.221741
aggregate-gpt-5-full	piece_id	Vulpius_ChristusDerIstMeinLeben	21	9	12	1	0	42.86	8.33	0.0	63.52	0.099724
aggregate-gpt-5-full	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	10	14	3	0	41.67	21.43	0.0	61.21	0.083945
aggregate-gpt-5-full	is_nota_correct	0	240	87	153	33	0	36.25	21.57	0.0	798.02	1.567866
aggregate-gpt-5-full	is_nota_correct	1	60	24	36	5	0	40.0	13.89	0.0	194.69	0.376969
aggregate-gpt-5-full	meta-question_id	1	30	7	23	0	0	23.33	0.0	0.0	103.69	0.182358
aggregate-gpt-5-full	meta-question_id	10	21	2	19	3	0	9.52	15.79	0.0	67.25	0.132346
aggregate-gpt-5-full	meta-question_id	11	18	4	14	3	0	22.22	21.43	0.0	56.1	0.107052
aggregate-gpt-5-full	meta-question_id	2	30	14	16	3	0	46.67	18.75	0.0	100.24	0.194597
aggregate-gpt-5-full	meta-question_id	3	30	10	20	5	0	33.33	25.0	0.0	98.62	0.193229
aggregate-gpt-5-full	meta-question_id	4	30	10	20	6	0	33.33	30.0	0.0	94.47	0.191219
aggregate-gpt-5-full	meta-question_id	5	30	16	14	3	0	53.33	21.43	0.0	91.12	0.202322
aggregate-gpt-5-full	meta-question_id	6	30	15	15	7	0	50.0	46.67	0.0	105.77	0.179797
aggregate-gpt-5-full	meta-question_id	7	30	18	12	6	0	60.0	50.0	0.0	112.92	0.230701
aggregate-gpt-5-full	meta-question_id	8	30	3	27	0	0	10.0	0.0	0.0	102.67	0.207485
aggregate-gpt-5-full	meta-question_id	9	21	12	9	2	0	57.14	22.22	0.0	59.86	0.123729
aggregate-gpt-5-full	category	harmony	60	18	42	8	0	30.0	19.05	0.0	183.21	0.363127
aggregate-gpt-5-full	category	pitch	120	41	79	14	0	34.17	17.72	0.0	397.02	0.761403
aggregate-gpt-5-full	category	rhythm	120	52	68	16	0	43.33	23.53	0.0	412.48	0.820306
aggregate-gpt-5-full	subcategory	harmonic-recognition	60	18	42	8	0	30.0	19.05	0.0	183.21	0.363127
aggregate-gpt-5-full	subcategory	interval-recognition	60	20	40	11	0	33.33	27.5	0.0	193.09	0.384447
aggregate-gpt-5-full	subcategory	pitch-recognition	60	21	39	3	0	35.0	7.69	0.0	203.93	0.376955
aggregate-gpt-5-full	subcategory	proportion-recognition	60	21	39	6	0	35.0	15.38	0.0	215.58	0.438186
aggregate-gpt-5-full	subcategory	rhythmic-recognition	60	31	29	10	0	51.67	34.48	0.0	196.89	0.382119
aggregate-gpt-5-full	skill	cadence recognition	18	4	14	3	0	22.22	21.43	0.0	56.1	0.107052
aggregate-gpt-5-full	skill	chord recognition	21	2	19	3	0	9.52	15.79	0.0	67.25	0.132346
aggregate-gpt-5-full	skill	interval recognition	30	10	20	5	0	33.33	25.0	0.0	98.62	0.193229
aggregate-gpt-5-full	skill	interval statistics	30	10	20	6	0	33.33	30.0	0.0	94.47	0.191219
aggregate-gpt-5-full	skill	note length	30	16	14	3	0	53.33	21.43	0.0	91.12	0.202322
aggregate-gpt-5-full	skill	note length statistics	30	15	15	7	0	50.0	46.67	0.0	105.77	0.179797
aggregate-gpt-5-full	skill	pitch recognition	30	7	23	0	0	23.33	0.0	0.0	103.69	0.182358
aggregate-gpt-5-full	skill	pitch statistics	30	14	16	3	0	46.67	18.75	0.0	100.24	0.194597
aggregate-gpt-5-full	skill	rhythm pattern	30	18	12	6	0	60.0	50.0	0.0	112.92	0.230701
aggregate-gpt-5-full	skill	rhythm pattern statistics	30	3	27	0	0	10.0	0.0	0.0	102.67	0.207485
aggregate-gpt-5-full	skill	tonality recognition	21	12	9	2	0	57.14	22.22	0.0	59.86	0.123729
aggregate-gpt-5-full	rel/abs	absolute	141	54	87	16	0	38.3	18.39	0.0	468.07	0.891421
aggregate-gpt-5-full	rel/abs	relative	159	57	102	22	0	35.85	21.57	0.0	524.64	1.053414
aggregate-gpt-5-full	specification	harmony-absolute	21	2	19	3	0	9.52	15.79	0.0	67.25	0.132346
aggregate-gpt-5-full	specification	harmony-relative	39	16	23	5	0	41.03	21.74	0.0	115.96	0.230781
aggregate-gpt-5-full	specification	pitch-absolute	60	21	39	3	0	35.0	7.69	0.0	203.93	0.376955
