Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-google/gemini-2.0-flash-lite-001	OVERALL	ALL	15	6	9	0	0	40.0	0.0	0.0	48.58	0.004489
white-noise-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	5	1	4	0	0	20.0	0.0	0.0	22.9	0.000669
white-noise-google/gemini-2.0-flash-lite-001	submodality	symbolic.abc.txt	5	3	2	0	0	60.0	0.0	0.0	15.38	0.003224
white-noise-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	5	2	3	0	0	40.0	0.0	0.0	10.3	0.000595
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	1	2	0	0	33.33	0.0	0.0	8.43	0.000875
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	4	2	0	0	66.67	0.0	0.0	23.07	0.001827
white-noise-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	1	5	0	0	16.67	0.0	0.0	17.08	0.001787
white-noise-google/gemini-2.0-flash-lite-001	is_nota_correct	0	12	4	8	0	0	33.33	0.0	0.0	42.5	0.003646
white-noise-google/gemini-2.0-flash-lite-001	is_nota_correct	1	3	2	1	0	0	66.67	0.0	0.0	6.08	0.000843
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	1	3	2	1	0	0	66.67	0.0	0.0	13.55	0.000893
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	3	3	1	2	0	0	33.33	0.0	0.0	9.93	0.000929
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	5	3	2	1	0	0	66.67	0.0	0.0	9.52	0.000934
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	7	3	1	2	0	0	33.33	0.0	0.0	8.43	0.000875
white-noise-google/gemini-2.0-flash-lite-001	meta-question_id	9	3	0	3	0	0	0.0	0.0	0.0	7.14	0.000858
white-noise-google/gemini-2.0-flash-lite-001	category	harmony	3	0	3	0	0	0.0	0.0	0.0	7.14	0.000858
white-noise-google/gemini-2.0-flash-lite-001	category	pitch	6	3	3	0	0	50.0	0.0	0.0	23.48	0.001822
white-noise-google/gemini-2.0-flash-lite-001	category	rhythm	6	3	3	0	0	50.0	0.0	0.0	17.96	0.001809
white-noise-google/gemini-2.0-flash-lite-001	subcategory	harmonic-recognition	3	0	3	0	0	0.0	0.0	0.0	7.14	0.000858
white-noise-google/gemini-2.0-flash-lite-001	subcategory	interval-recognition	3	1	2	0	0	33.33	0.0	0.0	9.93	0.000929
white-noise-google/gemini-2.0-flash-lite-001	subcategory	pitch-recognition	3	2	1	0	0	66.67	0.0	0.0	13.55	0.000893
white-noise-google/gemini-2.0-flash-lite-001	subcategory	proportion-recognition	3	1	2	0	0	33.33	0.0	0.0	8.43	0.000875
white-noise-google/gemini-2.0-flash-lite-001	subcategory	rhythmic-recognition	3	2	1	0	0	66.67	0.0	0.0	9.52	0.000934
white-noise-google/gemini-2.0-flash-lite-001	skill	interval recognition	3	1	2	0	0	33.33	0.0	0.0	9.93	0.000929
white-noise-google/gemini-2.0-flash-lite-001	skill	note length	3	2	1	0	0	66.67	0.0	0.0	9.52	0.000934
white-noise-google/gemini-2.0-flash-lite-001	skill	pitch recognition	3	2	1	0	0	66.67	0.0	0.0	13.55	0.000893
white-noise-google/gemini-2.0-flash-lite-001	skill	rhythm pattern	3	1	2	0	0	33.33	0.0	0.0	8.43	0.000875
white-noise-google/gemini-2.0-flash-lite-001	skill	tonality recognition	3	0	3	0	0	0.0	0.0	0.0	7.14	0.000858
white-noise-google/gemini-2.0-flash-lite-001	rel/abs	absolute	6	4	2	0	0	66.67	0.0	0.0	23.07	0.001827
white-noise-google/gemini-2.0-flash-lite-001	rel/abs	relative	9	2	7	0	0	22.22	0.0	0.0	25.51	0.002662
white-noise-google/gemini-2.0-flash-lite-001	specification	harmony-relative	3	0	3	0	0	0.0	0.0	0.0	7.14	0.000858
white-noise-google/gemini-2.0-flash-lite-001	specification	pitch-absolute	3	2	1	0	0	66.67	0.0	0.0	13.55	0.000893
white-noise-google/gemini-2.0-flash-lite-001	specification	pitch-relative	3	1	2	0	0	33.33	0.0	0.0	9.93	0.000929
white-noise-google/gemini-2.0-flash-lite-001	specification	rhythm-absolute	3	2	1	0	0	66.67	0.0	0.0	9.52	0.000934
white-noise-google/gemini-2.0-flash-lite-001	specification	rhythm-relative	3	1	2	0	0	33.33	0.0	0.0	8.43	0.000875
