Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
text-only-google/gemini-2.5-flash-lite	OVERALL	ALL	26.96	5.2336	0.109	0.0	6091.54	0.5996
text-only-google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	25.888	8.2727	0.4	0.0	1303.93	0.1106
text-only-google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	26.982	5.5993	0.0	0.0	2086.89	0.2118
text-only-google/gemini-2.5-flash-lite	submodality	visual.short.png	28.034	7.8725	0.0	0.0	2700.74	0.2772
text-only-google/gemini-2.5-flash-lite	is_nota_correct	0	24.001	6.0889	0.135	0.0	4902.91	0.4851
text-only-google/gemini-2.5-flash-lite	is_nota_correct	1	36.792	13.0424	0.0	0.0	1188.62	0.1145
text-only-google/gemini-2.5-flash-lite	meta-question_id	0	23.055	14.6198	0.0	0.0	484.74	0.0453
text-only-google/gemini-2.5-flash-lite	meta-question_id	1	20.378	18.9341	0.0	0.0	272.01	0.0255
text-only-google/gemini-2.5-flash-lite	meta-question_id	2	11.839	9.8241	0.0	0.0	874.22	0.0883
text-only-google/gemini-2.5-flash-lite	meta-question_id	3	35.873	14.4147	0.0	0.0	700.13	0.0802
text-only-google/gemini-2.5-flash-lite	meta-question_id	4	27.456	11.4463	0.0	0.0	485.93	0.0429
text-only-google/gemini-2.5-flash-lite	meta-question_id	5	39.092	14.0708	0.0	0.0	275.65	0.0231
text-only-google/gemini-2.5-flash-lite	meta-question_id	6	21.886	12.9978	0.0	0.0	492.33	0.0497
text-only-google/gemini-2.5-flash-lite	meta-question_id	7	30.552	18.7027	0.0	0.0	549.39	0.0548
text-only-google/gemini-2.5-flash-lite	meta-question_id	8	28.857	10.99	0.556	0.0	1445.87	0.1367
text-only-google/gemini-2.5-flash-lite	meta-question_id	9	22.798	19.5031	0.0	0.0	511.3	0.053
text-only-google/gemini-2.5-flash-lite	category	harmony	28.113	8.5753	0.278	0.0	2506.56	0.2445
text-only-google/gemini-2.5-flash-lite	category	pitch	22.623	8.1668	0.0	0.0	2331.05	0.2394
text-only-google/gemini-2.5-flash-lite	category	rhythm	30.089	6.0874	0.0	0.0	1253.92	0.1157
text-only-google/gemini-2.5-flash-lite	subcategory	harmony-absolute	28.857	10.99	0.556	0.0	1445.87	0.1367
text-only-google/gemini-2.5-flash-lite	subcategory	harmony-relative	27.462	14.3555	0.0	0.0	1060.69	0.1078
text-only-google/gemini-2.5-flash-lite	subcategory	pitch-absolute	22.244	15.1433	0.0	0.0	756.71	0.0709
text-only-google/gemini-2.5-flash-lite	subcategory	pitch-relative	22.373	8.2002	0.0	0.0	1574.35	0.1685
text-only-google/gemini-2.5-flash-lite	subcategory	rhythm-absolute	27.456	11.4463	0.0	0.0	485.93	0.0429
text-only-google/gemini-2.5-flash-lite	subcategory	rhythm-relative	32.443	8.3188	0.0	0.0	767.97	0.0728
text-only-google/gemini-2.5-flash-lite	skill	cadence recognition	22.798	19.5031	0.0	0.0	511.3	0.053
text-only-google/gemini-2.5-flash-lite	skill	chord recognition	28.857	10.99	0.556	0.0	1445.87	0.1367
text-only-google/gemini-2.5-flash-lite	skill	interval recognition	11.839	9.8241	0.0	0.0	874.22	0.0883
text-only-google/gemini-2.5-flash-lite	skill	interval statistics	35.873	14.4147	0.0	0.0	700.13	0.0802
text-only-google/gemini-2.5-flash-lite	skill	note length	27.456	11.4463	0.0	0.0	485.93	0.0429
text-only-google/gemini-2.5-flash-lite	skill	pitch recognition	23.055	14.6198	0.0	0.0	484.74	0.0453
text-only-google/gemini-2.5-flash-lite	skill	pitch statistics	20.378	18.9341	0.0	0.0	272.01	0.0255
text-only-google/gemini-2.5-flash-lite	skill	rhythm pattern	21.886	12.9978	0.0	0.0	492.33	0.0497
text-only-google/gemini-2.5-flash-lite	skill	time signature	39.092	14.0708	0.0	0.0	275.65	0.0231
text-only-google/gemini-2.5-flash-lite	skill	tonality recognition	30.552	18.7027	0.0	0.0	549.39	0.0548
text-only-google/gemini-2.5-flash-lite	rel/abs	absolute	26.258	9.1965	0.227	0.0	2688.51	0.2505
text-only-google/gemini-2.5-flash-lite	rel/abs	relative	27.341	6.4107	0.0	0.0	3403.0	0.3491
