Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
aggregate-gpt-5	OVERALL	ALL	35.151	2.7396	12.039	0.132	18170.73	22.1613
aggregate-gpt-5	submodality	audio.mastermix.wav	16.361	5.9632	28.201	0.345	3034.62	0.249
aggregate-gpt-5	submodality	symbolic.musicxml	53.441	4.7691	0.0	0.0	8716.83	20.5937
aggregate-gpt-5	submodality	visual.short.png	35.279	5.2384	0.0	0.0	6419.26	1.3186
aggregate-gpt-5	piece_id	Bach_IchStehAnDeinerKrippe	41.583	16.5208	9.644	0.0	2312.19	2.7357
aggregate-gpt-5	piece_id	Drese_JesuGehVoran	29.883	15.9498	14.453	0.0	1349.35	1.6751
aggregate-gpt-5	piece_id	Gesius_BefiehlDuDeineWege	32.148	12.1713	10.032	0.0	1705.12	2.2441
aggregate-gpt-5	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	33.644	9.7615	15.229	0.0	2470.02	2.86
aggregate-gpt-5	piece_id	Jan_DuGrosserSchmerzensmann	37.352	11.4182	14.897	0.0	1583.92	2.0358
aggregate-gpt-5	piece_id	Telemann_DerLiebenSonneLichtUndPracht	38.927	27.3521	16.86	0.0	1355.1	2.2619
aggregate-gpt-5	piece_id	Vulpius_ChristusDerIstMeinLeben	41.63	11.8054	15.235	0.0	1840.71	1.7249
aggregate-gpt-5	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	31.74	12.8353	15.175	0.769	1771.09	1.8044
aggregate-gpt-5	is_nota_correct	0	34.333	2.7956	11.684	0.161	14186.74	17.332
aggregate-gpt-5	is_nota_correct	1	39.406	8.9915	13.618	0.0	3983.98	4.8293
aggregate-gpt-5	meta-question_id	0	23.202	11.6009	0.0	0.0	1582.0	2.2647
aggregate-gpt-5	meta-question_id	1	47.646	16.9081	11.5	0.0	908.97	1.3797
aggregate-gpt-5	meta-question_id	2	18.02	13.3235	20.464	0.0	1773.82	2.0011
aggregate-gpt-5	meta-question_id	3	62.381	18.9905	31.5	0.0	2402.63	1.8503
aggregate-gpt-5	meta-question_id	4	22.699	10.6395	10.969	0.625	2631.07	3.717
aggregate-gpt-5	meta-question_id	5	56.991	11.0651	22.238	0.0	1214.68	2.0003
aggregate-gpt-5	meta-question_id	6	7.203	10.1967	4.286	0.0	1009.95	1.4535
aggregate-gpt-5	meta-question_id	7	41.162	11.636	20.333	0.0	1419.21	1.9064
aggregate-gpt-5	meta-question_id	8	44.384	10.5567	12.556	0.0	3621.98	3.9258
aggregate-gpt-5	meta-question_id	9	24.822	14.8741	4.167	0.0	1606.39	1.6626
aggregate-gpt-5	category	harmony	39.717	8.9084	12.268	0.0	6647.55	7.4948
aggregate-gpt-5	category	pitch	35.115	7.7899	13.03	0.0	6667.43	7.4957
aggregate-gpt-5	category	rhythm	30.604	6.4415	11.361	0.4	4855.71	7.1707
aggregate-gpt-5	subcategory	harmony-absolute	44.384	10.5567	12.556	0.0	3621.98	3.9258
aggregate-gpt-5	subcategory	harmony-relative	34.723	10.0796	12.132	0.0	3025.6	3.569
aggregate-gpt-5	subcategory	pitch-absolute	32.633	10.4501	3.983	0.0	2490.99	3.6444
aggregate-gpt-5	subcategory	pitch-relative	37.284	11.2635	23.343	0.0	4176.46	3.8513
aggregate-gpt-5	subcategory	rhythm-absolute	22.699	10.6395	10.969	0.625	2631.07	3.717
aggregate-gpt-5	subcategory	rhythm-relative	37.873	7.5187	11.918	0.0	2224.64	3.4538
aggregate-gpt-5	skill	cadence recognition	24.822	14.8741	4.167	0.0	1606.39	1.6626
aggregate-gpt-5	skill	chord recognition	44.384	10.5567	12.556	0.0	3621.98	3.9258
aggregate-gpt-5	skill	interval recognition	18.02	13.3235	20.464	0.0	1773.82	2.0011
aggregate-gpt-5	skill	interval statistics	62.381	18.9905	31.5	0.0	2402.63	1.8503
aggregate-gpt-5	skill	note length	22.699	10.6395	10.969	0.625	2631.07	3.717
aggregate-gpt-5	skill	pitch recognition	23.202	11.6009	0.0	0.0	1582.0	2.2647
aggregate-gpt-5	skill	pitch statistics	47.646	16.9081	11.5	0.0	908.97	1.3797
aggregate-gpt-5	skill	rhythm pattern	7.203	10.1967	4.286	0.0	1009.95	1.4535
aggregate-gpt-5	skill	time signature	56.991	11.0651	22.238	0.0	1214.68	2.0003
aggregate-gpt-5	skill	tonality recognition	41.162	11.636	20.333	0.0	1419.21	1.9064
aggregate-gpt-5	rel/abs	absolute	33.512	5.909	9.0	0.244	8744.02	11.2871
aggregate-gpt-5	rel/abs	relative	36.564	4.228	15.137	0.0	9426.7	10.8741
