Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-2.5-flash-lite	OVERALL	ALL	112	28	84	0	0	25.0	0.0	0.0	469.58	0.051442
text-only-google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	36	10	26	0	0	27.78	0.0	0.0	80.19	0.006925
text-only-google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	38	9	29	0	0	23.68	0.0	0.0	172.98	0.01878
text-only-google/gemini-2.5-flash-lite	submodality	visual.short.png	38	9	29	0	0	23.68	0.0	0.0	216.41	0.025737
text-only-google/gemini-2.5-flash-lite	is_nota_correct	0	90	21	69	0	0	23.33	0.0	0.0	362.81	0.039743
text-only-google/gemini-2.5-flash-lite	is_nota_correct	1	22	7	15	0	0	31.82	0.0	0.0	106.77	0.011699
text-only-google/gemini-2.5-flash-lite	meta-question_id	0	11	1	10	0	0	9.09	0.0	0.0	42.34	0.004561
text-only-google/gemini-2.5-flash-lite	meta-question_id	1	6	0	6	0	0	0.0	0.0	0.0	9.41	0.000825
text-only-google/gemini-2.5-flash-lite	meta-question_id	2	9	0	9	0	0	0.0	0.0	0.0	23.29	0.002514
text-only-google/gemini-2.5-flash-lite	meta-question_id	3	9	3	6	0	0	33.33	0.0	0.0	49.51	0.00548
text-only-google/gemini-2.5-flash-lite	meta-question_id	4	19	3	16	0	0	15.79	0.0	0.0	39.5	0.003659
text-only-google/gemini-2.5-flash-lite	meta-question_id	5	12	5	7	0	0	41.67	0.0	0.0	20.27	0.001828
text-only-google/gemini-2.5-flash-lite	meta-question_id	6	7	2	5	0	0	28.57	0.0	0.0	35.16	0.003815
text-only-google/gemini-2.5-flash-lite	meta-question_id	7	13	4	9	0	0	30.77	0.0	0.0	61.39	0.007069
text-only-google/gemini-2.5-flash-lite	meta-question_id	8	18	6	12	0	0	33.33	0.0	0.0	109.65	0.01128
text-only-google/gemini-2.5-flash-lite	meta-question_id	9	8	4	4	0	0	50.0	0.0	0.0	79.07	0.01041
text-only-google/gemini-2.5-flash-lite	category	harmony	39	14	25	0	0	35.9	0.0	0.0	250.11	0.028759
text-only-google/gemini-2.5-flash-lite	category	pitch	35	4	31	0	0	11.43	0.0	0.0	124.54	0.013381
text-only-google/gemini-2.5-flash-lite	category	rhythm	38	10	28	0	0	26.32	0.0	0.0	94.93	0.009302
text-only-google/gemini-2.5-flash-lite	subcategory	harmony-absolute	18	6	12	0	0	33.33	0.0	0.0	109.65	0.01128
text-only-google/gemini-2.5-flash-lite	subcategory	harmony-relative	21	8	13	0	0	38.1	0.0	0.0	140.46	0.017479
text-only-google/gemini-2.5-flash-lite	subcategory	pitch-absolute	17	1	16	0	0	5.88	0.0	0.0	51.75	0.005386
text-only-google/gemini-2.5-flash-lite	subcategory	pitch-relative	18	3	15	0	0	16.67	0.0	0.0	72.8	0.007994
text-only-google/gemini-2.5-flash-lite	subcategory	rhythm-absolute	19	3	16	0	0	15.79	0.0	0.0	39.5	0.003659
text-only-google/gemini-2.5-flash-lite	subcategory	rhythm-relative	19	7	12	0	0	36.84	0.0	0.0	55.43	0.005643
text-only-google/gemini-2.5-flash-lite	skill	cadence recognition	8	4	4	0	0	50.0	0.0	0.0	79.07	0.01041
text-only-google/gemini-2.5-flash-lite	skill	chord recognition	18	6	12	0	0	33.33	0.0	0.0	109.65	0.01128
text-only-google/gemini-2.5-flash-lite	skill	interval recognition	9	0	9	0	0	0.0	0.0	0.0	23.29	0.002514
text-only-google/gemini-2.5-flash-lite	skill	interval statistics	9	3	6	0	0	33.33	0.0	0.0	49.51	0.00548
text-only-google/gemini-2.5-flash-lite	skill	note length	19	3	16	0	0	15.79	0.0	0.0	39.5	0.003659
text-only-google/gemini-2.5-flash-lite	skill	pitch recognition	11	1	10	0	0	9.09	0.0	0.0	42.34	0.004561
text-only-google/gemini-2.5-flash-lite	skill	pitch statistics	6	0	6	0	0	0.0	0.0	0.0	9.41	0.000825
text-only-google/gemini-2.5-flash-lite	skill	rhythm pattern	7	2	5	0	0	28.57	0.0	0.0	35.16	0.003815
text-only-google/gemini-2.5-flash-lite	skill	time signature	12	5	7	0	0	41.67	0.0	0.0	20.27	0.001828
text-only-google/gemini-2.5-flash-lite	skill	tonality recognition	13	4	9	0	0	30.77	0.0	0.0	61.39	0.007069
text-only-google/gemini-2.5-flash-lite	rel/abs	absolute	54	10	44	0	0	18.52	0.0	0.0	200.9	0.020325
text-only-google/gemini-2.5-flash-lite	rel/abs	relative	58	18	40	0	0	31.03	0.0	0.0	268.68	0.031116
