Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
aggregate-gpt-4o	OVERALL	ALL	36.165	2.7481	1.502	0.0	5639.65	26.9863
aggregate-gpt-4o	submodality	audio.mastermix.wav	29.576	3.9368	0.333	0.0	3000.87	6.5819
aggregate-gpt-4o	submodality	symbolic.musicxml	44.851	5.7445	0.0	0.0	1843.25	19.6216
aggregate-gpt-4o	submodality	visual.short.png	34.042	5.1914	3.957	0.0	795.53	0.7829
aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	39.39	20.4821	0.588	0.0	695.59	3.4081
aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	43.556	25.5083	2.5	0.0	499.92	2.0277
aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	28.064	17.6003	2.5	0.0	561.76	2.8037
aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	37.593	12.492	0.588	0.0	741.22	3.4859
aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	22.256	15.0091	3.448	0.0	489.14	2.4755
aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	31.339	28.5773	1.0	0.0	549.89	2.9123
aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	48.387	17.1509	0.0	0.0	533.22	2.1236
aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	39.494	15.7933	0.0	0.0	426.41	1.9217
aggregate-gpt-4o	is_nota_correct	0	37.112	3.0624	0.915	0.0	4434.06	21.2075
aggregate-gpt-4o	is_nota_correct	1	32.073	7.3042	3.826	0.0	1205.58	5.7788
aggregate-gpt-4o	meta-question_id	0	31.977	11.5024	0.0	0.0	543.85	2.78
aggregate-gpt-4o	meta-question_id	1	58.17	25.1044	0.0	0.0	329.45	1.6793
aggregate-gpt-4o	meta-question_id	2	10.58	11.9653	0.0	0.0	521.33	2.3964
aggregate-gpt-4o	meta-question_id	3	75.715	17.4531	0.0	0.0	408.57	2.0302
aggregate-gpt-4o	meta-question_id	4	20.295	11.3222	2.928	0.0	941.07	4.5106
aggregate-gpt-4o	meta-question_id	5	52.047	11.7883	0.0	0.0	542.27	2.6359
aggregate-gpt-4o	meta-question_id	6	8.136	9.2663	1.25	0.0	382.32	1.8556
aggregate-gpt-4o	meta-question_id	7	41.406	21.3547	0.0	0.0	503.41	2.4077
aggregate-gpt-4o	meta-question_id	8	46.694	13.8817	4.101	0.0	1027.36	4.7485
aggregate-gpt-4o	meta-question_id	9	21.865	12.0168	1.429	0.0	439.96	1.9422
aggregate-gpt-4o	category	harmony	40.241	9.2573	2.38	0.0	1970.76	9.0984
aggregate-gpt-4o	category	pitch	40.592	8.1942	0.0	0.0	1803.25	8.8859
aggregate-gpt-4o	category	rhythm	28.146	7.4547	1.832	0.0	1865.65	9.0021
aggregate-gpt-4o	subcategory	harmony-absolute	46.694	13.8817	4.101	0.0	1027.36	4.7485
aggregate-gpt-4o	subcategory	harmony-relative	33.576	11.2316	0.588	0.0	943.4	4.35
aggregate-gpt-4o	subcategory	pitch-absolute	42.118	12.8517	0.0	0.0	873.34	4.4593
aggregate-gpt-4o	subcategory	pitch-relative	38.639	7.8251	0.0	0.0	929.91	4.4266
aggregate-gpt-4o	subcategory	rhythm-absolute	20.295	11.3222	2.928	0.0	941.07	4.5106
aggregate-gpt-4o	subcategory	rhythm-relative	35.555	9.3999	0.588	0.0	924.6	4.4914
aggregate-gpt-4o	skill	cadence recognition	21.865	12.0168	1.429	0.0	439.96	1.9422
aggregate-gpt-4o	skill	chord recognition	46.694	13.8817	4.101	0.0	1027.36	4.7485
aggregate-gpt-4o	skill	interval recognition	10.58	11.9653	0.0	0.0	521.33	2.3964
aggregate-gpt-4o	skill	interval statistics	75.715	17.4531	0.0	0.0	408.57	2.0302
aggregate-gpt-4o	skill	note length	20.295	11.3222	2.928	0.0	941.07	4.5106
aggregate-gpt-4o	skill	pitch recognition	31.977	11.5024	0.0	0.0	543.85	2.78
aggregate-gpt-4o	skill	pitch statistics	58.17	25.1044	0.0	0.0	329.45	1.6793
aggregate-gpt-4o	skill	rhythm pattern	8.136	9.2663	1.25	0.0	382.32	1.8556
aggregate-gpt-4o	skill	time signature	52.047	11.7883	0.0	0.0	542.27	2.6359
aggregate-gpt-4o	skill	tonality recognition	41.406	21.3547	0.0	0.0	503.41	2.4077
aggregate-gpt-4o	rel/abs	absolute	36.415	5.9154	2.544	0.0	2841.76	13.7183
aggregate-gpt-4o	rel/abs	relative	35.771	4.3242	0.488	0.0	2797.89	13.268
