Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-2.5-pro	OVERALL	ALL	112	30	82	0	0	26.79	0.0	0.0	4098.08	4.84277
text-only-google/gemini-2.5-pro	submodality	audio.mastermix.wav	36	11	25	0	0	30.56	0.0	0.0	1104.06	1.258931
text-only-google/gemini-2.5-pro	submodality	symbolic.musicxml	38	7	31	0	0	18.42	0.0	0.0	1661.1	2.025702
text-only-google/gemini-2.5-pro	submodality	visual.short.png	38	12	26	0	0	31.58	0.0	0.0	1332.92	1.558136
text-only-google/gemini-2.5-pro	is_nota_correct	0	90	26	64	0	0	28.89	0.0	0.0	2956.42	3.526794
text-only-google/gemini-2.5-pro	is_nota_correct	1	22	4	18	0	0	18.18	0.0	0.0	1141.67	1.315976
text-only-google/gemini-2.5-pro	meta-question_id	0	11	1	10	0	0	9.09	0.0	0.0	157.5	0.19249
text-only-google/gemini-2.5-pro	meta-question_id	1	6	0	6	0	0	0.0	0.0	0.0	88.19	0.10105
text-only-google/gemini-2.5-pro	meta-question_id	2	9	2	7	0	0	22.22	0.0	0.0	235.19	0.288034
text-only-google/gemini-2.5-pro	meta-question_id	3	9	4	5	0	0	44.44	0.0	0.0	791.85	0.941764
text-only-google/gemini-2.5-pro	meta-question_id	4	19	6	13	0	0	31.58	0.0	0.0	524.19	0.610684
text-only-google/gemini-2.5-pro	meta-question_id	5	12	5	7	0	0	41.67	0.0	0.0	130.63	0.148829
text-only-google/gemini-2.5-pro	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	245.94	0.296749
text-only-google/gemini-2.5-pro	meta-question_id	7	13	5	8	0	0	38.46	0.0	0.0	262.59	0.282363
text-only-google/gemini-2.5-pro	meta-question_id	8	18	7	11	0	0	38.89	0.0	0.0	1158.71	1.380323
text-only-google/gemini-2.5-pro	meta-question_id	9	8	0	8	0	0	0.0	0.0	0.0	503.27	0.600486
text-only-google/gemini-2.5-pro	category	harmony	39	12	27	0	0	30.77	0.0	0.0	1924.58	2.263171
text-only-google/gemini-2.5-pro	category	pitch	35	7	28	0	0	20.0	0.0	0.0	1272.74	1.523338
text-only-google/gemini-2.5-pro	category	rhythm	38	11	27	0	0	28.95	0.0	0.0	900.77	1.056261
text-only-google/gemini-2.5-pro	subcategory	harmony-absolute	18	7	11	0	0	38.89	0.0	0.0	1158.71	1.380323
text-only-google/gemini-2.5-pro	subcategory	harmony-relative	21	5	16	0	0	23.81	0.0	0.0	765.87	0.882849
text-only-google/gemini-2.5-pro	subcategory	pitch-absolute	17	1	16	0	0	5.88	0.0	0.0	245.69	0.29354
text-only-google/gemini-2.5-pro	subcategory	pitch-relative	18	6	12	0	0	33.33	0.0	0.0	1027.05	1.229797
text-only-google/gemini-2.5-pro	subcategory	rhythm-absolute	19	6	13	0	0	31.58	0.0	0.0	524.19	0.610684
text-only-google/gemini-2.5-pro	subcategory	rhythm-relative	19	5	14	0	0	26.32	0.0	0.0	376.57	0.445578
text-only-google/gemini-2.5-pro	skill	cadence recognition	8	0	8	0	0	0.0	0.0	0.0	503.27	0.600486
text-only-google/gemini-2.5-pro	skill	chord recognition	18	7	11	0	0	38.89	0.0	0.0	1158.71	1.380323
text-only-google/gemini-2.5-pro	skill	interval recognition	9	2	7	0	0	22.22	0.0	0.0	235.19	0.288034
text-only-google/gemini-2.5-pro	skill	interval statistics	9	4	5	0	0	44.44	0.0	0.0	791.85	0.941764
text-only-google/gemini-2.5-pro	skill	note length	19	6	13	0	0	31.58	0.0	0.0	524.19	0.610684
text-only-google/gemini-2.5-pro	skill	pitch recognition	11	1	10	0	0	9.09	0.0	0.0	157.5	0.19249
text-only-google/gemini-2.5-pro	skill	pitch statistics	6	0	6	0	0	0.0	0.0	0.0	88.19	0.10105
text-only-google/gemini-2.5-pro	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	245.94	0.296749
text-only-google/gemini-2.5-pro	skill	time signature	12	5	7	0	0	41.67	0.0	0.0	130.63	0.148829
text-only-google/gemini-2.5-pro	skill	tonality recognition	13	5	8	0	0	38.46	0.0	0.0	262.59	0.282363
text-only-google/gemini-2.5-pro	rel/abs	absolute	54	14	40	0	0	25.93	0.0	0.0	1928.6	2.284546
text-only-google/gemini-2.5-pro	rel/abs	relative	58	16	42	0	0	27.59	0.0	0.0	2169.49	2.558224
