Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-gpt-4o	OVERALL	ALL	119	40	79	1	0	33.61	1.27	0.0	596.87	2.744945
aggregate-gpt-4o	submodality	audio.mastermix.wav	44	10	34	0	0	22.73	0.0	0.0	342.32	0.747055
aggregate-gpt-4o	submodality	symbolic.musicxml	38	21	17	0	0	55.26	0.0	0.0	174.32	1.916237
aggregate-gpt-4o	submodality	visual.short.png	37	9	28	1	0	24.32	3.57	0.0	80.22	0.081653
aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	9	2	7	0	0	22.22	0.0	0.0	61.62	0.262515
aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	10	4	6	0	0	40.0	0.0	0.0	52.13	0.317265
aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	14	8	6	0	0	57.14	0.0	0.0	70.35	0.276785
aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	9	2	7	0	0	22.22	0.0	0.0	48.81	0.235397
aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	7	3	4	0	0	42.86	0.0	0.0	37.8	0.15355
aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	15	2	13	1	0	13.33	7.69	0.0	71.47	0.342005
aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	5	13	0	0	27.78	0.0	0.0	105.15	0.56376
aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	27	10	17	0	0	37.04	0.0	0.0	112.44	0.444363
aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	10	4	6	0	0	40.0	0.0	0.0	37.09	0.149305
aggregate-gpt-4o	is_nota_correct	0	90	31	59	0	0	34.44	0.0	0.0	441.64	2.13076
aggregate-gpt-4o	is_nota_correct	1	29	9	20	1	0	31.03	5.0	0.0	155.22	0.614185
aggregate-gpt-4o	meta-question_id	0	11	4	7	0	0	36.36	0.0	0.0	48.61	0.22518
aggregate-gpt-4o	meta-question_id	1	9	4	5	0	0	44.44	0.0	0.0	39.39	0.17764
aggregate-gpt-4o	meta-question_id	2	12	2	10	0	0	16.67	0.0	0.0	53.66	0.252403
aggregate-gpt-4o	meta-question_id	3	9	8	1	0	0	88.89	0.0	0.0	50.67	0.2737
aggregate-gpt-4o	meta-question_id	4	19	2	17	0	0	10.53	0.0	0.0	122.49	0.546605
aggregate-gpt-4o	meta-question_id	5	13	4	9	0	0	30.77	0.0	0.0	53.31	0.282418
aggregate-gpt-4o	meta-question_id	6	8	0	8	1	0	0.0	12.5	0.0	36.0	0.164415
aggregate-gpt-4o	meta-question_id	7	10	4	6	0	0	40.0	0.0	0.0	48.47	0.246345
aggregate-gpt-4o	meta-question_id	8	20	10	10	0	0	50.0	0.0	0.0	96.32	0.421377
aggregate-gpt-4o	meta-question_id	9	8	2	6	0	0	25.0	0.0	0.0	47.93	0.154862
aggregate-gpt-4o	category	harmony	38	16	22	0	0	42.11	0.0	0.0	192.73	0.822585
aggregate-gpt-4o	category	pitch	41	18	23	0	0	43.9	0.0	0.0	192.34	0.928923
aggregate-gpt-4o	category	rhythm	40	6	34	1	0	15.0	2.94	0.0	211.8	0.993438
aggregate-gpt-4o	subcategory	harmony-absolute	20	10	10	0	0	50.0	0.0	0.0	96.32	0.421377
aggregate-gpt-4o	subcategory	harmony-relative	18	6	12	0	0	33.33	0.0	0.0	96.41	0.401208
aggregate-gpt-4o	subcategory	pitch-absolute	20	8	12	0	0	40.0	0.0	0.0	88.0	0.40282
aggregate-gpt-4o	subcategory	pitch-relative	21	10	11	0	0	47.62	0.0	0.0	104.34	0.526102
aggregate-gpt-4o	subcategory	rhythm-absolute	19	2	17	0	0	10.53	0.0	0.0	122.49	0.546605
aggregate-gpt-4o	subcategory	rhythm-relative	21	4	17	1	0	19.05	5.88	0.0	89.31	0.446833
aggregate-gpt-4o	skill	cadence recognition	8	2	6	0	0	25.0	0.0	0.0	47.93	0.154862
aggregate-gpt-4o	skill	chord recognition	20	10	10	0	0	50.0	0.0	0.0	96.32	0.421377
aggregate-gpt-4o	skill	interval recognition	12	2	10	0	0	16.67	0.0	0.0	53.66	0.252403
aggregate-gpt-4o	skill	interval statistics	9	8	1	0	0	88.89	0.0	0.0	50.67	0.2737
aggregate-gpt-4o	skill	note length	19	2	17	0	0	10.53	0.0	0.0	122.49	0.546605
aggregate-gpt-4o	skill	pitch recognition	11	4	7	0	0	36.36	0.0	0.0	48.61	0.22518
aggregate-gpt-4o	skill	pitch statistics	9	4	5	0	0	44.44	0.0	0.0	39.39	0.17764
aggregate-gpt-4o	skill	rhythm pattern	8	0	8	1	0	0.0	12.5	0.0	36.0	0.164415
aggregate-gpt-4o	skill	time signature	13	4	9	0	0	30.77	0.0	0.0	53.31	0.282418
aggregate-gpt-4o	skill	tonality recognition	10	4	6	0	0	40.0	0.0	0.0	48.47	0.246345
aggregate-gpt-4o	rel/abs	absolute	59	20	39	0	0	33.9	0.0	0.0	306.81	1.370803
aggregate-gpt-4o	rel/abs	relative	60	20	40	1	0	33.33	2.5	0.0	290.06	1.374143
