Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-mistral	OVERALL	ALL	15	4	11	0	0	26.67	0.0	0.0	202.8	0.026904
aggregate-mistral	submodality	audio.mastermix.wav	5	2	3	0	0	40.0	0.0	0.0	38.76	0.022682
aggregate-mistral	submodality	symbolic.abc.txt	5	0	5	0	0	0.0	0.0	0.0	29.41	0.000774
aggregate-mistral	submodality	visual.short.png	5	2	3	0	0	40.0	0.0	0.0	134.63	0.003448
aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	6	1	5	0	0	16.67	0.0	0.0	73.0	0.010987
aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	2	1	0	0	66.67	0.0	0.0	29.38	0.006292
aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	3	1	2	0	0	33.33	0.0	0.0	90.02	0.004919
aggregate-mistral	is_nota_correct	0	12	3	9	0	0	25.0	0.0	0.0	171.91	0.019336
aggregate-mistral	is_nota_correct	1	3	1	2	0	0	33.33	0.0	0.0	30.9	0.007569
aggregate-mistral	meta-question_id	1	3	1	2	0	0	33.33	0.0	0.0	90.02	0.004919
aggregate-mistral	meta-question_id	3	3	1	2	0	0	33.33	0.0	0.0	56.47	0.005968
aggregate-mistral	meta-question_id	5	3	2	1	0	0	66.67	0.0	0.0	29.38	0.006292
aggregate-mistral	meta-question_id	7	3	0	3	0	0	0.0	0.0	0.0	16.53	0.005019
aggregate-mistral	meta-question_id	9	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	category	harmony	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	category	pitch	6	2	4	0	0	33.33	0.0	0.0	146.49	0.010887
aggregate-mistral	category	rhythm	6	2	4	0	0	33.33	0.0	0.0	45.91	0.011311
aggregate-mistral	subcategory	harmonic-recognition	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	subcategory	interval-recognition	3	1	2	0	0	33.33	0.0	0.0	56.47	0.005968
aggregate-mistral	subcategory	pitch-recognition	3	1	2	0	0	33.33	0.0	0.0	90.02	0.004919
aggregate-mistral	subcategory	proportion-recognition	3	0	3	0	0	0.0	0.0	0.0	16.53	0.005019
aggregate-mistral	subcategory	rhythmic-recognition	3	2	1	0	0	66.67	0.0	0.0	29.38	0.006292
aggregate-mistral	skill	interval recognition	3	1	2	0	0	33.33	0.0	0.0	56.47	0.005968
aggregate-mistral	skill	note length	3	2	1	0	0	66.67	0.0	0.0	29.38	0.006292
aggregate-mistral	skill	pitch recognition	3	1	2	0	0	33.33	0.0	0.0	90.02	0.004919
aggregate-mistral	skill	rhythm pattern	3	0	3	0	0	0.0	0.0	0.0	16.53	0.005019
aggregate-mistral	skill	tonality recognition	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	rel/abs	absolute	6	3	3	0	0	50.0	0.0	0.0	119.4	0.011211
aggregate-mistral	rel/abs	relative	9	1	8	0	0	11.11	0.0	0.0	83.4	0.015693
aggregate-mistral	specification	harmony-relative	3	0	3	0	0	0.0	0.0	0.0	10.4	0.004706
aggregate-mistral	specification	pitch-absolute	3	1	2	0	0	33.33	0.0	0.0	90.02	0.004919
aggregate-mistral	specification	pitch-relative	3	1	2	0	0	33.33	0.0	0.0	56.47	0.005968
aggregate-mistral	specification	rhythm-absolute	3	2	1	0	0	66.67	0.0	0.0	29.38	0.006292
aggregate-mistral	specification	rhythm-relative	3	0	3	0	0	0.0	0.0	0.0	16.53	0.005019
