Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-gpt-5	OVERALL	ALL	118	38	80	7	0	32.2	8.75	0.0	1948.01	2.32396
aggregate-gpt-5	submodality	audio.mastermix.wav	39	4	35	7	0	10.26	20.0	0.0	322.16	0.02651
aggregate-gpt-5	submodality	symbolic.musicxml	41	23	18	0	0	56.1	0.0	0.0	968.81	2.161842
aggregate-gpt-5	submodality	visual.short.png	38	11	27	0	0	28.95	0.0	0.0	657.04	0.135607
aggregate-gpt-5	piece_id	Anonymous_AusMeinesHerzensGrunde	12	3	9	3	0	25.0	33.33	0.0	296.82	0.241422
aggregate-gpt-5	piece_id	Bach_IchStehAnDeinerKrippe	13	5	8	1	0	38.46	12.5	0.0	229.85	0.314265
aggregate-gpt-5	piece_id	Crueger_AufAufMeinHerzMitFreuden	10	7	3	0	0	70.0	0.0	0.0	217.77	0.209236
aggregate-gpt-5	piece_id	Drese_JesuGehVoran	7	3	4	0	0	42.86	0.0	0.0	78.89	0.135223
aggregate-gpt-5	piece_id	Gesius_BefiehlDuDeineWege	15	2	13	0	0	13.33	0.0	0.0	250.3	0.316216
aggregate-gpt-5	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	26	8	18	2	0	30.77	11.11	0.0	394.32	0.496149
aggregate-gpt-5	piece_id	Jan_DuGrosserSchmerzensmann	8	2	6	0	0	25.0	0.0	0.0	100.5	0.187426
aggregate-gpt-5	piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	0	3	1	0	0.0	33.33	0.0	53.43	0.067693
aggregate-gpt-5	piece_id	Vulpius_ChristusDerIstMeinLeben	17	6	11	0	0	35.29	0.0	0.0	260.83	0.269142
aggregate-gpt-5	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	7	2	5	0	0	28.57	0.0	0.0	65.31	0.087188
aggregate-gpt-5	is_nota_correct	0	90	28	62	6	0	31.11	9.68	0.0	1474.05	1.73919
aggregate-gpt-5	is_nota_correct	1	28	10	18	1	0	35.71	5.56	0.0	473.96	0.58477
aggregate-gpt-5	meta-question_id	0	14	3	11	0	0	21.43	0.0	0.0	208.45	0.181349
aggregate-gpt-5	meta-question_id	1	7	4	3	0	0	57.14	0.0	0.0	95.48	0.129631
aggregate-gpt-5	meta-question_id	2	11	0	11	1	0	0.0	9.09	0.0	226.17	0.250985
aggregate-gpt-5	meta-question_id	3	7	5	2	1	0	71.43	50.0	0.0	256.9	0.160391
aggregate-gpt-5	meta-question_id	4	18	3	15	2	0	16.67	13.33	0.0	305.98	0.424243
aggregate-gpt-5	meta-question_id	5	12	5	7	2	0	41.67	28.57	0.0	129.42	0.20815
aggregate-gpt-5	meta-question_id	6	6	1	5	0	0	16.67	0.0	0.0	91.52	0.113983
aggregate-gpt-5	meta-question_id	7	11	4	7	0	0	36.36	0.0	0.0	99.64	0.166108
aggregate-gpt-5	meta-question_id	8	24	12	12	1	0	50.0	8.33	0.0	372.34	0.495832
aggregate-gpt-5	meta-question_id	9	8	1	7	0	0	12.5	0.0	0.0	162.12	0.193286
aggregate-gpt-5	category	harmony	43	17	26	1	0	39.53	3.85	0.0	634.1	0.855226
aggregate-gpt-5	category	pitch	39	12	27	2	0	30.77	7.41	0.0	787.0	0.722357
aggregate-gpt-5	category	rhythm	36	9	27	4	0	25.0	14.81	0.0	526.91	0.746376
aggregate-gpt-5	subcategory	harmony-absolute	24	12	12	1	0	50.0	8.33	0.0	372.34	0.495832
aggregate-gpt-5	subcategory	harmony-relative	19	5	14	0	0	26.32	0.0	0.0	261.76	0.359395
aggregate-gpt-5	subcategory	pitch-absolute	21	7	14	0	0	33.33	0.0	0.0	303.93	0.310981
aggregate-gpt-5	subcategory	pitch-relative	18	5	13	2	0	27.78	15.38	0.0	483.07	0.411377
aggregate-gpt-5	subcategory	rhythm-absolute	18	3	15	2	0	16.67	13.33	0.0	305.98	0.424243
aggregate-gpt-5	subcategory	rhythm-relative	18	6	12	2	0	33.33	16.67	0.0	220.93	0.322133
aggregate-gpt-5	skill	cadence recognition	8	1	7	0	0	12.5	0.0	0.0	162.12	0.193286
aggregate-gpt-5	skill	chord recognition	24	12	12	1	0	50.0	8.33	0.0	372.34	0.495832
aggregate-gpt-5	skill	interval recognition	11	0	11	1	0	0.0	9.09	0.0	226.17	0.250985
aggregate-gpt-5	skill	interval statistics	7	5	2	1	0	71.43	50.0	0.0	256.9	0.160391
aggregate-gpt-5	skill	note length	18	3	15	2	0	16.67	13.33	0.0	305.98	0.424243
aggregate-gpt-5	skill	pitch recognition	14	3	11	0	0	21.43	0.0	0.0	208.45	0.181349
aggregate-gpt-5	skill	pitch statistics	7	4	3	0	0	57.14	0.0	0.0	95.48	0.129631
aggregate-gpt-5	skill	rhythm pattern	6	1	5	0	0	16.67	0.0	0.0	91.52	0.113983
aggregate-gpt-5	skill	time signature	12	5	7	2	0	41.67	28.57	0.0	129.42	0.20815
aggregate-gpt-5	skill	tonality recognition	11	4	7	0	0	36.36	0.0	0.0	99.64	0.166108
aggregate-gpt-5	rel/abs	absolute	63	22	41	3	0	34.92	7.32	0.0	982.25	1.231055
aggregate-gpt-5	rel/abs	relative	55	16	39	4	0	29.09	10.26	0.0	965.76	1.092905
