Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-deepseek/deepseek-v3.2	OVERALL	ALL	300	73	227	0	0	24.33	0.0	0.0	5721.35	0.081912
text-only-deepseek/deepseek-v3.2	submodality	audio.mastermix.wav	100	16	84	0	0	16.0	0.0	0.0	924.73	0.015617
text-only-deepseek/deepseek-v3.2	submodality	symbolic.abc.txt	100	34	66	0	0	34.0	0.0	0.0	3096.67	0.041739
text-only-deepseek/deepseek-v3.2	submodality	visual.short.png	100	23	77	0	0	23.0	0.0	0.0	1699.95	0.024556
text-only-deepseek/deepseek-v3.2	piece_id	Anonymous_AusMeinesHerzensGrunde	18	2	16	0	0	11.11	0.0	0.0	340.38	0.004337
text-only-deepseek/deepseek-v3.2	piece_id	Bach_IchStehAnDeinerKrippe	33	4	29	0	0	12.12	0.0	0.0	531.06	0.00812
text-only-deepseek/deepseek-v3.2	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	3	27	0	0	10.0	0.0	0.0	877.74	0.009772
text-only-deepseek/deepseek-v3.2	piece_id	Drese_JesuGehVoran	39	13	26	0	0	33.33	0.0	0.0	644.81	0.010174
text-only-deepseek/deepseek-v3.2	piece_id	Gesius_BefiehlDuDeineWege	24	6	18	0	0	25.0	0.0	0.0	237.91	0.00501
text-only-deepseek/deepseek-v3.2	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	11	31	0	0	26.19	0.0	0.0	972.32	0.014206
text-only-deepseek/deepseek-v3.2	piece_id	Jan_DuGrosserSchmerzensmann	42	16	26	0	0	38.1	0.0	0.0	779.91	0.011627
text-only-deepseek/deepseek-v3.2	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	10	17	0	0	37.04	0.0	0.0	367.8	0.006813
text-only-deepseek/deepseek-v3.2	piece_id	Vulpius_ChristusDerIstMeinLeben	21	5	16	0	0	23.81	0.0	0.0	392.26	0.00568
