Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
Qwen/Qwen3-Omni-30B-A3B-Thinking	OVERALL	ALL	300	139	161	0	0	46.33	0.0	0.0	6373.01	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	audio.mastermix.wav	100	33	67	0	0	33.0	0.0	0.0	1476.16	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	symbolic.abc.txt	100	66	34	0	0	66.0	0.0	0.0	3582.29	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	visual.short.png	100	40	60	0	0	40.0	0.0	0.0	1314.57	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Anonymous_AusMeinesHerzensGrunde	18	3	15	0	0	16.67	0.0	0.0	565.7	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Bach_IchStehAnDeinerKrippe	33	11	22	0	0	33.33	0.0	0.0	665.17	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	12	18	0	0	40.0	0.0	0.0	862.94	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Drese_JesuGehVoran	39	20	19	0	0	51.28	0.0	0.0	1139.59	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Gesius_BefiehlDuDeineWege	24	10	14	0	0	41.67	0.0	0.0	322.79	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	22	20	0	0	52.38	0.0	0.0	922.38	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Jan_DuGrosserSchmerzensmann	42	22	20	0	0	52.38	0.0	0.0	713.16	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	14	13	0	0	51.85	0.0	0.0	489.92	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Vulpius_ChristusDerIstMeinLeben	21	11	10	0	0	52.38	0.0	0.0	336.0	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	14	10	0	0	58.33	0.0	0.0	355.38	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	is_nota_correct	0	240	103	137	0	0	42.92	0.0	0.0	4971.43	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	is_nota_correct	1	60	36	24	0	0	60.0	0.0	0.0	1401.58	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	1	30	14	16	0	0	46.67	0.0	0.0	513.22	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	10	21	7	14	0	0	33.33	0.0	0.0	521.47	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	11	18	4	14	0	0	22.22	0.0	0.0	301.38	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	2	30	18	12	0	0	60.0	0.0	0.0	324.59	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	3	30	12	18	0	0	40.0	0.0	0.0	676.51	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	4	30	15	15	0	0	50.0	0.0	0.0	1155.61	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	5	30	13	17	0	0	43.33	0.0	0.0	453.7	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	6	30	18	12	0	0	60.0	0.0	0.0	657.34	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	7	30	16	14	0	0	53.33	0.0	0.0	894.35	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	8	30	8	22	0	0	26.67	0.0	0.0	726.65	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	meta-question_id	9	21	14	7	0	0	66.67	0.0	0.0	148.18	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	category	harmony	60	25	35	0	0	41.67	0.0	0.0	971.03	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	category	pitch	120	59	61	0	0	49.17	0.0	0.0	2669.93	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	category	rhythm	120	55	65	0	0	45.83	0.0	0.0	2732.05	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	subcategory	harmonic-recognition	60	25	35	0	0	41.67	0.0	0.0	971.03	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	subcategory	interval-recognition	60	27	33	0	0	45.0	0.0	0.0	1832.12	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	subcategory	pitch-recognition	60	32	28	0	0	53.33	0.0	0.0	837.81	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	subcategory	proportion-recognition	60	24	36	0	0	40.0	0.0	0.0	1621.0	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	subcategory	rhythmic-recognition	60	31	29	0	0	51.67	0.0	0.0	1111.04	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	cadence recognition	18	4	14	0	0	22.22	0.0	0.0	301.38	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	chord recognition	21	7	14	0	0	33.33	0.0	0.0	521.47	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	interval recognition	30	12	18	0	0	40.0	0.0	0.0	676.51	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	interval statistics	30	15	15	0	0	50.0	0.0	0.0	1155.61	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	note length	30	13	17	0	0	43.33	0.0	0.0	453.7	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	note length statistics	30	18	12	0	0	60.0	0.0	0.0	657.34	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	pitch recognition	30	14	16	0	0	46.67	0.0	0.0	513.22	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	pitch statistics	30	18	12	0	0	60.0	0.0	0.0	324.59	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	rhythm pattern	30	16	14	0	0	53.33	0.0	0.0	894.35	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	rhythm pattern statistics	30	8	22	0	0	26.67	0.0	0.0	726.65	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	skill	tonality recognition	21	14	7	0	0	66.67	0.0	0.0	148.18	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	rel/abs	absolute	141	70	71	0	0	49.65	0.0	0.0	2470.32	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	rel/abs	relative	159	69	90	0	0	43.4	0.0	0.0	3902.69	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	harmony-absolute	21	7	14	0	0	33.33	0.0	0.0	521.47	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	harmony-relative	39	18	21	0	0	46.15	0.0	0.0	449.57	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	pitch-absolute	60	32	28	0	0	53.33	0.0	0.0	837.81	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	pitch-relative	60	27	33	0	0	45.0	0.0	0.0	1832.12	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	rhythm-absolute	60	31	29	0	0	51.67	0.0	0.0	1111.04	0.0
Qwen/Qwen3-Omni-30B-A3B-Thinking	specification	rhythm-relative	60	24	36	0	0	40.0	0.0	0.0	1621.0	0.0
