Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	OVERALL	ALL	750	175	575	1	0	23.33	0.17	0.0	8408.75	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	audio.mastermix.wav	250	54	196	0	0	21.6	0.0	0.0	326.24	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	symbolic.abc.txt	250	59	191	1	0	23.6	0.52	0.0	7948.58	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	submodality	visual.short.png	250	62	188	0	0	24.8	0.0	0.0	133.93	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Anonymous_AusMeinesHerzensGrunde	84	22	62	0	0	26.19	0.0	0.0	1233.65	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Bach_IchStehAnDeinerKrippe	102	17	85	0	0	16.67	0.0	0.0	739.34	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Crueger_AufAufMeinHerzMitFreuden	57	9	48	0	0	15.79	0.0	0.0	670.05	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Drese_JesuGehVoran	84	21	63	0	0	25.0	0.0	0.0	675.97	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Gesius_BefiehlDuDeineWege	84	28	56	0	0	33.33	0.0	0.0	820.65	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	45	6	39	0	0	13.33	0.0	0.0	505.04	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Jan_DuGrosserSchmerzensmann	75	19	56	0	0	25.33	0.0	0.0	838.18	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Telemann_DerLiebenSonneLichtUndPracht	75	16	59	1	0	21.33	1.69	0.0	1296.42	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Vulpius_ChristusDerIstMeinLeben	69	15	54	0	0	21.74	0.0	0.0	860.69	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	75	22	53	0	0	29.33	0.0	0.0	768.77	0.0
white-noise-Qwen/Qwen3-Omni-30B-A3B-Thinking	is_nota_correct	0	600	46	554	1	0	7.67	0.18	0.0	6900.61	0.0
