Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-gpt-4o	OVERALL	ALL	15	5	10	0	0	33.33	0.0	0.0	53.33	0.104217
aggregate-gpt-4o	submodality	audio.mastermix.wav	5	2	3	0	0	40.0	0.0	0.0	21.62	0.06987
aggregate-gpt-4o	submodality	symbolic.abc.txt	5	0	5	0	0	0.0	0.0	0.0	15.85	0.02357
aggregate-gpt-4o	submodality	visual.short.png	5	3	2	0	0	60.0	0.0	0.0	15.85	0.010777
aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	3	0	3	0	0	0.0	0.0	0.0	13.7	0.027542
aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	6	3	3	0	0	50.0	0.0	0.0	17.61	0.040438
aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	3	1	2	0	0	33.33	0.0	0.0	11.99	0.01839
aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	1	2	0	0	33.33	0.0	0.0	10.03	0.017847
aggregate-gpt-4o	is_nota_correct	0	12	4	8	0	0	33.33	0.0	0.0	45.65	0.093055
aggregate-gpt-4o	is_nota_correct	1	3	1	2	0	0	33.33	0.0	0.0	7.68	0.011162
aggregate-gpt-4o	meta-question_id	1	3	1	2	0	0	33.33	0.0	0.0	8.7	0.021003
aggregate-gpt-4o	meta-question_id	3	3	0	3	0	0	0.0	0.0	0.0	13.7	0.027542
aggregate-gpt-4o	meta-question_id	5	3	1	2	0	0	33.33	0.0	0.0	11.99	0.01839
aggregate-gpt-4o	meta-question_id	7	3	1	2	0	0	33.33	0.0	0.0	10.03	0.017847
aggregate-gpt-4o	meta-question_id	9	3	2	1	0	0	66.67	0.0	0.0	8.91	0.019435
aggregate-gpt-4o	category	harmony	3	2	1	0	0	66.67	0.0	0.0	8.91	0.019435
aggregate-gpt-4o	category	pitch	6	1	5	0	0	16.67	0.0	0.0	22.39	0.048545
aggregate-gpt-4o	category	rhythm	6	2	4	0	0	33.33	0.0	0.0	22.02	0.036237
aggregate-gpt-4o	subcategory	harmonic-recognition	3	2	1	0	0	66.67	0.0	0.0	8.91	0.019435
aggregate-gpt-4o	subcategory	interval-recognition	3	0	3	0	0	0.0	0.0	0.0	13.7	0.027542
aggregate-gpt-4o	subcategory	pitch-recognition	3	1	2	0	0	33.33	0.0	0.0	8.7	0.021003
aggregate-gpt-4o	subcategory	proportion-recognition	3	1	2	0	0	33.33	0.0	0.0	10.03	0.017847
aggregate-gpt-4o	subcategory	rhythmic-recognition	3	1	2	0	0	33.33	0.0	0.0	11.99	0.01839
aggregate-gpt-4o	skill	interval recognition	3	0	3	0	0	0.0	0.0	0.0	13.7	0.027542
aggregate-gpt-4o	skill	note length	3	1	2	0	0	33.33	0.0	0.0	11.99	0.01839
aggregate-gpt-4o	skill	pitch recognition	3	1	2	0	0	33.33	0.0	0.0	8.7	0.021003
aggregate-gpt-4o	skill	rhythm pattern	3	1	2	0	0	33.33	0.0	0.0	10.03	0.017847
aggregate-gpt-4o	skill	tonality recognition	3	2	1	0	0	66.67	0.0	0.0	8.91	0.019435
aggregate-gpt-4o	rel/abs	absolute	6	2	4	0	0	33.33	0.0	0.0	20.69	0.039393
aggregate-gpt-4o	rel/abs	relative	9	3	6	0	0	33.33	0.0	0.0	32.64	0.064825
aggregate-gpt-4o	specification	harmony-relative	3	2	1	0	0	66.67	0.0	0.0	8.91	0.019435
aggregate-gpt-4o	specification	pitch-absolute	3	1	2	0	0	33.33	0.0	0.0	8.7	0.021003
aggregate-gpt-4o	specification	pitch-relative	3	0	3	0	0	0.0	0.0	0.0	13.7	0.027542
aggregate-gpt-4o	specification	rhythm-absolute	3	1	2	0	0	33.33	0.0	0.0	11.99	0.01839
aggregate-gpt-4o	specification	rhythm-relative	3	1	2	0	0	33.33	0.0	0.0	10.03	0.017847
