Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	22.67	22.67	29.33
submodality	audio.mastermix.wav	25	12.0	8.0	20.0
submodality	symbolic.abc.txt	25	32.0	40.0	24.0
submodality	visual.short.png	25	24.0	20.0	44.0
piece_id	Anonymous_AusMeinesHerzensGrunde	3	33.33	66.67	0.0
piece_id	Bach_IchStehAnDeinerKrippe	9	0.0	22.22	11.11
piece_id	Crueger_AufAufMeinHerzMitFreuden	12	8.33	16.67	8.33
piece_id	Drese_JesuGehVoran	12	16.67	16.67	33.33
piece_id	Gesius_BefiehlDuDeineWege	6	66.67	33.33	83.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	6	16.67	33.33	50.0
piece_id	Jan_DuGrosserSchmerzensmann	6	0.0	16.67	16.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	18	33.33	22.22	27.78
piece_id	Vulpius_ChristusDerIstMeinLeben	3	66.67	0.0	66.67
is_nota_correct	0	60	26.67	16.67	28.33
is_nota_correct	1	15	6.67	46.67	33.33
meta-question_id	1	9	11.11	33.33	44.44
meta-question_id	10	6	33.33	16.67	33.33
meta-question_id	11	3	0.0	0.0	0.0
meta-question_id	2	6	0.0	0.0	0.0
meta-question_id	3	9	11.11	44.44	11.11
meta-question_id	4	6	50.0	50.0	50.0
meta-question_id	5	9	22.22	11.11	33.33
meta-question_id	6	6	33.33	33.33	66.67
meta-question_id	7	9	22.22	11.11	33.33
meta-question_id	8	6	50.0	0.0	33.33
meta-question_id	9	6	16.67	33.33	0.0
category	harmony	15	20.0	20.0	13.33
category	pitch	30	16.67	33.33	26.67
category	rhythm	30	30.0	13.33	40.0
subcategory	harmonic-recognition	15	20.0	20.0	13.33
subcategory	interval-recognition	15	26.67	46.67	26.67
subcategory	pitch-recognition	15	6.67	20.0	26.67
subcategory	proportion-recognition	15	33.33	6.67	33.33
subcategory	rhythmic-recognition	15	26.67	20.0	46.67
skill	cadence recognition	3	0.0	0.0	0.0
skill	chord recognition	6	33.33	16.67	33.33
skill	interval recognition	9	11.11	44.44	11.11
skill	interval statistics	6	50.0	50.0	50.0
skill	note length	9	22.22	11.11	33.33
skill	note length statistics	6	33.33	33.33	66.67
skill	pitch recognition	9	11.11	33.33	44.44
skill	pitch statistics	6	0.0	0.0	0.0
skill	rhythm pattern	9	22.22	11.11	33.33
skill	rhythm pattern statistics	6	50.0	0.0	33.33
skill	tonality recognition	6	16.67	33.33	0.0
rel/abs	absolute	36	19.44	19.44	36.11
rel/abs	relative	39	25.64	25.64	23.08
specification	harmony-absolute	6	33.33	16.67	33.33
specification	harmony-relative	9	11.11	22.22	0.0
specification	pitch-absolute	15	6.67	20.0	26.67
specification	pitch-relative	15	26.67	46.67	26.67
specification	rhythm-absolute	15	26.67	20.0	46.67
specification	rhythm-relative	15	33.33	6.67	33.33
