Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.5-flash-lite	OVERALL	ALL	122	38	84	0	0	31.15	0.0	0.0	1552.73	0.248717
google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	40	9	31	0	0	22.5	0.0	0.0	439.61	0.041556
google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	40	17	23	0	0	42.5	0.0	0.0	400.42	0.13316
google/gemini-2.5-flash-lite	submodality	visual.short.png	42	12	30	0	0	28.57	0.0	0.0	712.71	0.074
google/gemini-2.5-flash-lite	is_nota_correct	0	90	27	63	0	0	30.0	0.0	0.0	1103.46	0.181102
google/gemini-2.5-flash-lite	is_nota_correct	1	32	11	21	0	0	34.38	0.0	0.0	449.27	0.067615
google/gemini-2.5-flash-lite	meta-question_id	0	11	2	9	0	0	18.18	0.0	0.0	69.88	0.019885
google/gemini-2.5-flash-lite	meta-question_id	1	8	7	1	0	0	87.5	0.0	0.0	76.26	0.013574
google/gemini-2.5-flash-lite	meta-question_id	2	10	2	8	0	0	20.0	0.0	0.0	146.19	0.022104
google/gemini-2.5-flash-lite	meta-question_id	3	7	4	3	0	0	57.14	0.0	0.0	182.96	0.026354
google/gemini-2.5-flash-lite	meta-question_id	4	17	2	15	0	0	11.76	0.0	0.0	99.63	0.023441
google/gemini-2.5-flash-lite	meta-question_id	5	15	7	8	0	0	46.67	0.0	0.0	111.45	0.021197
google/gemini-2.5-flash-lite	meta-question_id	6	8	1	7	0	0	12.5	0.0	0.0	81.07	0.013278
google/gemini-2.5-flash-lite	meta-question_id	7	13	4	9	0	0	30.77	0.0	0.0	82.42	0.017439
google/gemini-2.5-flash-lite	meta-question_id	8	24	8	16	0	0	33.33	0.0	0.0	528.37	0.06887
google/gemini-2.5-flash-lite	meta-question_id	9	9	1	8	0	0	11.11	0.0	0.0	174.51	0.022575
google/gemini-2.5-flash-lite	category	harmony	46	13	33	0	0	28.26	0.0	0.0	785.3	0.108883
google/gemini-2.5-flash-lite	category	pitch	36	15	21	0	0	41.67	0.0	0.0	475.28	0.081917
google/gemini-2.5-flash-lite	category	rhythm	40	10	30	0	0	25.0	0.0	0.0	292.15	0.057916
google/gemini-2.5-flash-lite	subcategory	harmony-absolute	24	8	16	0	0	33.33	0.0	0.0	528.37	0.06887
google/gemini-2.5-flash-lite	subcategory	harmony-relative	22	5	17	0	0	22.73	0.0	0.0	256.93	0.040013
google/gemini-2.5-flash-lite	subcategory	pitch-absolute	19	9	10	0	0	47.37	0.0	0.0	146.13	0.033459
google/gemini-2.5-flash-lite	subcategory	pitch-relative	17	6	11	0	0	35.29	0.0	0.0	329.15	0.048459
google/gemini-2.5-flash-lite	subcategory	rhythm-absolute	17	2	15	0	0	11.76	0.0	0.0	99.63	0.023441
google/gemini-2.5-flash-lite	subcategory	rhythm-relative	23	8	15	0	0	34.78	0.0	0.0	192.52	0.034475
google/gemini-2.5-flash-lite	skill	cadence recognition	9	1	8	0	0	11.11	0.0	0.0	174.51	0.022575
google/gemini-2.5-flash-lite	skill	chord recognition	24	8	16	0	0	33.33	0.0	0.0	528.37	0.06887
google/gemini-2.5-flash-lite	skill	interval recognition	10	2	8	0	0	20.0	0.0	0.0	146.19	0.022104
google/gemini-2.5-flash-lite	skill	interval statistics	7	4	3	0	0	57.14	0.0	0.0	182.96	0.026354
google/gemini-2.5-flash-lite	skill	note length	17	2	15	0	0	11.76	0.0	0.0	99.63	0.023441
google/gemini-2.5-flash-lite	skill	pitch recognition	11	2	9	0	0	18.18	0.0	0.0	69.88	0.019885
google/gemini-2.5-flash-lite	skill	pitch statistics	8	7	1	0	0	87.5	0.0	0.0	76.26	0.013574
google/gemini-2.5-flash-lite	skill	rhythm pattern	8	1	7	0	0	12.5	0.0	0.0	81.07	0.013278
google/gemini-2.5-flash-lite	skill	time signature	15	7	8	0	0	46.67	0.0	0.0	111.45	0.021197
google/gemini-2.5-flash-lite	skill	tonality recognition	13	4	9	0	0	30.77	0.0	0.0	82.42	0.017439
google/gemini-2.5-flash-lite	rel/abs	absolute	60	19	41	0	0	31.67	0.0	0.0	774.14	0.125769
google/gemini-2.5-flash-lite	rel/abs	relative	62	19	43	0	0	30.65	0.0	0.0	778.6	0.122948
