Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-mistral	OVERALL	ALL	108	31	77	0	2	28.7	0.0	2.6	904.42	0.006356
text-only-aggregate-mistral	submodality	audio.mastermix.wav	37	13	24	0	0	35.14	0.0	0.0	62.68	0.002246
text-only-aggregate-mistral	submodality	symbolic.musicxml	36	12	24	0	2	33.33	0.0	8.33	729.71	0.001913
text-only-aggregate-mistral	submodality	visual.short.png	35	6	29	0	0	17.14	0.0	0.0	112.04	0.002197
text-only-aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	15	2	13	0	0	13.33	0.0	0.0	51.11	0.000838
text-only-aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	23	5	18	0	0	21.74	0.0	0.0	57.46	0.001378
text-only-aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	14	5	9	0	0	35.71	0.0	0.0	41.54	0.000845
text-only-aggregate-mistral	piece_id	Drese_JesuGehVoran	7	0	7	0	0	0.0	0.0	0.0	11.41	0.00035
text-only-aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	9	3	6	0	0	33.33	0.0	0.0	38.63	0.000595
text-only-aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	16	8	8	0	1	50.0	0.0	12.5	339.78	0.000932
text-only-aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	4	2	2	0	0	50.0	0.0	0.0	13.0	0.000218
text-only-aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	3	2	1	0	0	66.67	0.0	0.0	20.26	0.000269
text-only-aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	3	2	1	0	0	66.67	0.0	0.0	6.48	0.000215
text-only-aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	2	12	0	1	14.29	0.0	8.33	324.74	0.000717
text-only-aggregate-mistral	is_nota_correct	0	90	27	63	0	2	30.0	0.0	3.17	860.89	0.005308
text-only-aggregate-mistral	is_nota_correct	1	18	4	14	0	0	22.22	0.0	0.0	43.53	0.001048
text-only-aggregate-mistral	meta-question_id	0	11	1	10	0	1	9.09	0.0	10.0	337.85	0.000501
text-only-aggregate-mistral	meta-question_id	1	6	1	5	0	0	16.67	0.0	0.0	27.24	0.000376
text-only-aggregate-mistral	meta-question_id	2	10	1	9	0	1	10.0	0.0	11.11	326.48	0.000535
text-only-aggregate-mistral	meta-question_id	3	9	2	7	0	0	22.22	0.0	0.0	26.61	0.000468
text-only-aggregate-mistral	meta-question_id	4	18	8	10	0	0	44.44	0.0	0.0	45.45	0.000956
text-only-aggregate-mistral	meta-question_id	5	10	3	7	0	0	30.0	0.0	0.0	32.09	0.000695
text-only-aggregate-mistral	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	18.15	0.00047
text-only-aggregate-mistral	meta-question_id	7	12	6	6	0	0	50.0	0.0	0.0	40.15	0.000795
text-only-aggregate-mistral	meta-question_id	8	18	7	11	0	0	38.89	0.0	0.0	31.72	0.00113
text-only-aggregate-mistral	meta-question_id	9	7	2	5	0	0	28.57	0.0	0.0	18.68	0.000429
text-only-aggregate-mistral	category	harmony	37	15	22	0	0	40.54	0.0	0.0	90.55	0.002354
text-only-aggregate-mistral	category	pitch	36	5	31	0	2	13.89	0.0	6.45	718.18	0.00188
text-only-aggregate-mistral	category	rhythm	35	11	24	0	0	31.43	0.0	0.0	95.69	0.002121
text-only-aggregate-mistral	subcategory	harmony-absolute	18	7	11	0	0	38.89	0.0	0.0	31.72	0.00113
text-only-aggregate-mistral	subcategory	harmony-relative	19	8	11	0	0	42.11	0.0	0.0	58.83	0.001224
text-only-aggregate-mistral	subcategory	pitch-absolute	17	2	15	0	1	11.76	0.0	6.67	365.09	0.000877
text-only-aggregate-mistral	subcategory	pitch-relative	19	3	16	0	1	15.79	0.0	6.25	353.09	0.001003
text-only-aggregate-mistral	subcategory	rhythm-absolute	18	8	10	0	0	44.44	0.0	0.0	45.45	0.000956
text-only-aggregate-mistral	subcategory	rhythm-relative	17	3	14	0	0	17.65	0.0	0.0	50.24	0.001165
text-only-aggregate-mistral	skill	cadence recognition	7	2	5	0	0	28.57	0.0	0.0	18.68	0.000429
text-only-aggregate-mistral	skill	chord recognition	18	7	11	0	0	38.89	0.0	0.0	31.72	0.00113
text-only-aggregate-mistral	skill	interval recognition	10	1	9	0	1	10.0	0.0	11.11	326.48	0.000535
text-only-aggregate-mistral	skill	interval statistics	9	2	7	0	0	22.22	0.0	0.0	26.61	0.000468
text-only-aggregate-mistral	skill	note length	18	8	10	0	0	44.44	0.0	0.0	45.45	0.000956
text-only-aggregate-mistral	skill	pitch recognition	11	1	10	0	1	9.09	0.0	10.0	337.85	0.000501
text-only-aggregate-mistral	skill	pitch statistics	6	1	5	0	0	16.67	0.0	0.0	27.24	0.000376
text-only-aggregate-mistral	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	18.15	0.00047
text-only-aggregate-mistral	skill	time signature	10	3	7	0	0	30.0	0.0	0.0	32.09	0.000695
text-only-aggregate-mistral	skill	tonality recognition	12	6	6	0	0	50.0	0.0	0.0	40.15	0.000795
text-only-aggregate-mistral	rel/abs	absolute	53	17	36	0	1	32.08	0.0	2.78	442.27	0.002964
text-only-aggregate-mistral	rel/abs	relative	55	14	41	0	1	25.45	0.0	2.44	462.16	0.003392
