Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.5-pro	OVERALL	ALL	112	38	74	0	0	33.93	0.0	0.0	5658.6	7.756687
google/gemini-2.5-pro	submodality	audio.mastermix.wav	36	10	26	0	0	27.78	0.0	0.0	1364.61	1.524312
google/gemini-2.5-pro	submodality	symbolic.musicxml	38	17	21	0	0	44.74	0.0	0.0	2019.48	3.553171
google/gemini-2.5-pro	submodality	visual.short.png	38	11	27	0	0	28.95	0.0	0.0	2274.51	2.679204
google/gemini-2.5-pro	is_nota_correct	0	90	31	59	0	0	34.44	0.0	0.0	4180.56	5.746337
google/gemini-2.5-pro	is_nota_correct	1	22	7	15	0	0	31.82	0.0	0.0	1478.04	2.01035
google/gemini-2.5-pro	meta-question_id	0	11	1	10	0	0	9.09	0.0	0.0	322.63	0.462019
google/gemini-2.5-pro	meta-question_id	1	6	2	4	0	0	33.33	0.0	0.0	356.9	0.462758
google/gemini-2.5-pro	meta-question_id	2	9	2	7	0	0	22.22	0.0	0.0	468.59	0.640316
google/gemini-2.5-pro	meta-question_id	3	9	6	3	0	0	66.67	0.0	0.0	920.22	1.207929
google/gemini-2.5-pro	meta-question_id	4	19	3	16	0	0	15.79	0.0	0.0	520.14	0.868214
google/gemini-2.5-pro	meta-question_id	5	12	5	7	0	0	41.67	0.0	0.0	290.05	0.395278
google/gemini-2.5-pro	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	359.36	0.478156
google/gemini-2.5-pro	meta-question_id	7	13	4	9	0	0	30.77	0.0	0.0	345.14	0.466218
google/gemini-2.5-pro	meta-question_id	8	18	15	3	0	0	83.33	0.0	0.0	1280.75	1.704366
google/gemini-2.5-pro	meta-question_id	9	8	0	8	0	0	0.0	0.0	0.0	794.83	1.071435
google/gemini-2.5-pro	category	harmony	39	19	20	0	0	48.72	0.0	0.0	2420.72	3.242019
google/gemini-2.5-pro	category	pitch	35	11	24	0	0	31.43	0.0	0.0	2068.33	2.773021
google/gemini-2.5-pro	category	rhythm	38	8	30	0	0	21.05	0.0	0.0	1169.55	1.741648
google/gemini-2.5-pro	subcategory	harmony-absolute	18	15	3	0	0	83.33	0.0	0.0	1280.75	1.704366
google/gemini-2.5-pro	subcategory	harmony-relative	21	4	17	0	0	19.05	0.0	0.0	1139.97	1.537653
google/gemini-2.5-pro	subcategory	pitch-absolute	17	3	14	0	0	17.65	0.0	0.0	679.53	0.924776
google/gemini-2.5-pro	subcategory	pitch-relative	18	8	10	0	0	44.44	0.0	0.0	1388.8	1.848245
google/gemini-2.5-pro	subcategory	rhythm-absolute	19	3	16	0	0	15.79	0.0	0.0	520.14	0.868214
google/gemini-2.5-pro	subcategory	rhythm-relative	19	5	14	0	0	26.32	0.0	0.0	649.41	0.873434
google/gemini-2.5-pro	skill	cadence recognition	8	0	8	0	0	0.0	0.0	0.0	794.83	1.071435
google/gemini-2.5-pro	skill	chord recognition	18	15	3	0	0	83.33	0.0	0.0	1280.75	1.704366
google/gemini-2.5-pro	skill	interval recognition	9	2	7	0	0	22.22	0.0	0.0	468.59	0.640316
google/gemini-2.5-pro	skill	interval statistics	9	6	3	0	0	66.67	0.0	0.0	920.22	1.207929
google/gemini-2.5-pro	skill	note length	19	3	16	0	0	15.79	0.0	0.0	520.14	0.868214
google/gemini-2.5-pro	skill	pitch recognition	11	1	10	0	0	9.09	0.0	0.0	322.63	0.462019
google/gemini-2.5-pro	skill	pitch statistics	6	2	4	0	0	33.33	0.0	0.0	356.9	0.462758
google/gemini-2.5-pro	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	359.36	0.478156
google/gemini-2.5-pro	skill	time signature	12	5	7	0	0	41.67	0.0	0.0	290.05	0.395278
google/gemini-2.5-pro	skill	tonality recognition	13	4	9	0	0	30.77	0.0	0.0	345.14	0.466218
google/gemini-2.5-pro	rel/abs	absolute	54	21	33	0	0	38.89	0.0	0.0	2480.41	3.497356
google/gemini-2.5-pro	rel/abs	relative	58	17	41	0	0	29.31	0.0	0.0	3178.19	4.259331
