Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-mistral	OVERALL	ALL	115	39	76	0	0	33.91	0.0	0.0	815.83	0.217478
aggregate-mistral	submodality	audio.mastermix.wav	33	9	24	0	0	27.27	0.0	0.0	299.63	0.135848
aggregate-mistral	submodality	symbolic.musicxml	41	15	26	0	0	36.59	0.0	0.0	357.85	0.077996
aggregate-mistral	submodality	visual.short.png	41	15	26	0	0	36.59	0.0	0.0	158.35	0.003634
aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	4	2	2	0	0	50.0	0.0	0.0	11.19	0.010285
aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	24	7	17	0	0	29.17	0.0	0.0	114.65	0.054702
aggregate-mistral	piece_id	Drese_JesuGehVoran	10	2	8	0	0	20.0	0.0	0.0	54.27	0.014937
aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	12	8	4	0	0	66.67	0.0	0.0	130.16	0.02525
aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	13	2	11	0	0	15.38	0.0	0.0	73.12	0.022231
aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	14	5	9	0	0	35.71	0.0	0.0	95.09	0.032893
aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	8	2	6	0	0	25.0	0.0	0.0	34.04	0.018384
aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	14	6	8	0	0	42.86	0.0	0.0	66.94	0.015182
aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	16	5	11	0	0	31.25	0.0	0.0	236.37	0.023614
aggregate-mistral	is_nota_correct	0	90	31	59	0	0	34.44	0.0	0.0	675.69	0.183036
aggregate-mistral	is_nota_correct	1	25	8	17	0	0	32.0	0.0	0.0	140.14	0.034443
aggregate-mistral	meta-question_id	0	11	2	9	0	0	18.18	0.0	0.0	72.73	0.019344
aggregate-mistral	meta-question_id	1	10	5	5	0	0	50.0	0.0	0.0	209.38	0.026607
aggregate-mistral	meta-question_id	2	11	2	9	0	0	18.18	0.0	0.0	56.01	0.015433
aggregate-mistral	meta-question_id	3	7	4	3	0	0	57.14	0.0	0.0	126.38	0.014999
aggregate-mistral	meta-question_id	4	21	6	15	0	0	28.57	0.0	0.0	123.27	0.038199
aggregate-mistral	meta-question_id	5	11	6	5	0	0	54.55	0.0	0.0	54.06	0.02113
aggregate-mistral	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	22.45	0.012468
aggregate-mistral	meta-question_id	7	10	3	7	0	0	30.0	0.0	0.0	38.26	0.020141
aggregate-mistral	meta-question_id	8	19	9	10	0	0	47.37	0.0	0.0	89.65	0.038745
aggregate-mistral	meta-question_id	9	8	2	6	0	0	25.0	0.0	0.0	23.63	0.010412
aggregate-mistral	category	harmony	37	14	23	0	0	37.84	0.0	0.0	151.55	0.069298
aggregate-mistral	category	pitch	39	13	26	0	0	33.33	0.0	0.0	464.5	0.076383
aggregate-mistral	category	rhythm	39	12	27	0	0	30.77	0.0	0.0	199.78	0.071797
aggregate-mistral	subcategory	harmony-absolute	19	9	10	0	0	47.37	0.0	0.0	89.65	0.038745
aggregate-mistral	subcategory	harmony-relative	18	5	13	0	0	27.78	0.0	0.0	61.9	0.030553
aggregate-mistral	subcategory	pitch-absolute	21	7	14	0	0	33.33	0.0	0.0	282.11	0.045951
aggregate-mistral	subcategory	pitch-relative	18	6	12	0	0	33.33	0.0	0.0	182.39	0.030432
aggregate-mistral	subcategory	rhythm-absolute	21	6	15	0	0	28.57	0.0	0.0	123.27	0.038199
aggregate-mistral	subcategory	rhythm-relative	18	6	12	0	0	33.33	0.0	0.0	76.51	0.033597
aggregate-mistral	skill	cadence recognition	8	2	6	0	0	25.0	0.0	0.0	23.63	0.010412
aggregate-mistral	skill	chord recognition	19	9	10	0	0	47.37	0.0	0.0	89.65	0.038745
aggregate-mistral	skill	interval recognition	11	2	9	0	0	18.18	0.0	0.0	56.01	0.015433
aggregate-mistral	skill	interval statistics	7	4	3	0	0	57.14	0.0	0.0	126.38	0.014999
aggregate-mistral	skill	note length	21	6	15	0	0	28.57	0.0	0.0	123.27	0.038199
aggregate-mistral	skill	pitch recognition	11	2	9	0	0	18.18	0.0	0.0	72.73	0.019344
aggregate-mistral	skill	pitch statistics	10	5	5	0	0	50.0	0.0	0.0	209.38	0.026607
aggregate-mistral	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	22.45	0.012468
aggregate-mistral	skill	time signature	11	6	5	0	0	54.55	0.0	0.0	54.06	0.02113
aggregate-mistral	skill	tonality recognition	10	3	7	0	0	30.0	0.0	0.0	38.26	0.020141
aggregate-mistral	rel/abs	absolute	61	22	39	0	0	36.07	0.0	0.0	495.03	0.122895
aggregate-mistral	rel/abs	relative	54	17	37	0	0	31.48	0.0	0.0	320.8	0.094583
