Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-2.0-flash-lite-001	OVERALL	ALL	1139	267	872	93	18	23.44	10.67	2.06	4306.56	0.101523
text-only-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	379	95	284	13	7	25.07	4.58	2.46	1397.69	0.030953
text-only-google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	373	88	285	40	7	23.59	14.04	2.46	1507.88	0.036562
text-only-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	387	84	303	40	4	21.71	13.2	1.32	1400.99	0.034009
text-only-google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	136	34	102	10	0	25.0	9.8	0.0	449.15	0.013514
text-only-google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	121	24	97	15	4	19.83	15.46	4.12	526.68	0.010648
text-only-google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	95	23	72	9	0	24.21	12.5	0.0	292.92	0.007989
text-only-google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	126	30	96	14	1	23.81	14.58	1.04	445.57	0.011174
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	93	28	65	6	4	30.11	9.23	6.15	433.02	0.00751
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	117	18	99	11	2	15.38	11.11	2.02	477.36	0.009668
text-only-google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	108	18	90	6	2	16.67	6.67	2.22	386.33	0.009048
text-only-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	110	30	80	4	0	27.27	5.0	0.0	333.59	0.010722
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	130	41	89	9	2	31.54	10.11	2.25	454.25	0.012205
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	103	21	82	9	3	20.39	10.98	3.66	507.69	0.009045
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	0	900	176	724	76	16	19.56	10.5	2.21	3393.19	0.079812
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	1	239	91	148	17	2	38.08	11.49	1.35	913.38	0.021711
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	0	99	17	82	0	0	17.17	0.0	0.0	213.7	0.006505
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	1	93	22	71	1	0	23.66	1.41	0.0	239.18	0.007304
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	2	98	19	79	21	5	19.39	26.58	6.33	600.94	0.007579
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	3	101	31	70	5	0	30.69	7.14	0.0	284.78	0.007994
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	4	183	44	139	11	0	24.04	7.91	0.0	474.82	0.015689
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	5	38	18	20	2	0	47.37	10.0	0.0	93.34	0.003081
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	6	154	27	127	5	6	17.53	3.94	4.72	829.51	0.014811
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	7	93	26	67	5	0	27.96	7.46	0.0	359.96	0.011346
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	8	185	45	140	27	7	24.32	19.29	5.0	942.84	0.018963
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	9	95	18	77	16	0	18.95	20.78	0.0	267.49	0.008252
text-only-google/gemini-2.0-flash-lite-001	category	harmony	373	89	284	48	7	23.86	16.9	2.46	1570.29	0.038561
text-only-google/gemini-2.0-flash-lite-001	category	pitch	391	89	302	27	5	22.76	8.94	1.66	1338.59	0.029382
text-only-google/gemini-2.0-flash-lite-001	category	rhythm	375	89	286	18	6	23.73	6.29	2.1	1397.68	0.03358
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	185	45	140	27	7	24.32	19.29	5.0	942.84	0.018963
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	188	44	144	21	0	23.4	14.58	0.0	627.45	0.019598
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	192	39	153	1	0	20.31	0.65	0.0	452.88	0.013809
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	199	50	149	26	5	25.13	17.45	3.36	885.71	0.015573
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	183	44	139	11	0	24.04	7.91	0.0	474.82	0.015689
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	192	45	147	7	6	23.44	4.76	4.08	922.85	0.017891
text-only-google/gemini-2.0-flash-lite-001	skill	cadence recognition	95	18	77	16	0	18.95	20.78	0.0	267.49	0.008252
text-only-google/gemini-2.0-flash-lite-001	skill	chord recognition	185	45	140	27	7	24.32	19.29	5.0	942.84	0.018963
text-only-google/gemini-2.0-flash-lite-001	skill	interval recognition	98	19	79	21	5	19.39	26.58	6.33	600.94	0.007579
text-only-google/gemini-2.0-flash-lite-001	skill	interval statistics	101	31	70	5	0	30.69	7.14	0.0	284.78	0.007994
text-only-google/gemini-2.0-flash-lite-001	skill	note length	183	44	139	11	0	24.04	7.91	0.0	474.82	0.015689
text-only-google/gemini-2.0-flash-lite-001	skill	pitch recognition	99	17	82	0	0	17.17	0.0	0.0	213.7	0.006505
text-only-google/gemini-2.0-flash-lite-001	skill	pitch statistics	93	22	71	1	0	23.66	1.41	0.0	239.18	0.007304
text-only-google/gemini-2.0-flash-lite-001	skill	rhythm pattern	154	27	127	5	6	17.53	3.94	4.72	829.51	0.014811
text-only-google/gemini-2.0-flash-lite-001	skill	time signature	38	18	20	2	0	47.37	10.0	0.0	93.34	0.003081
text-only-google/gemini-2.0-flash-lite-001	skill	tonality recognition	93	26	67	5	0	27.96	7.46	0.0	359.96	0.011346
