Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
aggregate-gpt-4o	OVERALL	ALL	112	37	75	0	0	33.04	0.0	0.0	516.45	1.958845
aggregate-gpt-4o	submodality	audio.mastermix.wav	36	11	25	0	0	30.56	0.0	0.0	280.29	0.611203
aggregate-gpt-4o	submodality	symbolic.musicxml	38	15	23	0	0	39.47	0.0	0.0	149.55	1.265872
aggregate-gpt-4o	submodality	visual.short.png	38	11	27	0	0	28.95	0.0	0.0	86.62	0.08177
aggregate-gpt-4o	piece_id	Anonymous_AusMeinesHerzensGrunde	8	0	8	0	0	0.0	0.0	0.0	45.55	0.188435
aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	10	7	3	0	0	70.0	0.0	0.0	41.37	0.224077
aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	11	6	5	0	0	54.55	0.0	0.0	61.19	0.23741
aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	23	9	14	0	0	39.13	0.0	0.0	96.31	0.326815
aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	7	3	4	0	0	42.86	0.0	0.0	33.71	0.12093
aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	4	11	0	0	26.67	0.0	0.0	67.58	0.212157
aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	5	1	4	0	0	20.0	0.0	0.0	25.51	0.093337
aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	2	11	0	0	15.38	0.0	0.0	74.72	0.316007
aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	6	3	3	0	0	50.0	0.0	0.0	21.81	0.063083
aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	2	12	0	0	14.29	0.0	0.0	48.7	0.176592
aggregate-gpt-4o	is_nota_correct	0	90	30	60	0	0	33.33	0.0	0.0	412.41	1.53363
aggregate-gpt-4o	is_nota_correct	1	22	7	15	0	0	31.82	0.0	0.0	104.04	0.425215
aggregate-gpt-4o	meta-question_id	0	11	2	9	0	0	18.18	0.0	0.0	44.14	0.141432
aggregate-gpt-4o	meta-question_id	1	6	2	4	0	0	33.33	0.0	0.0	27.7	0.095785
aggregate-gpt-4o	meta-question_id	2	9	1	8	0	0	11.11	0.0	0.0	37.06	0.137277
aggregate-gpt-4o	meta-question_id	3	9	8	1	0	0	88.89	0.0	0.0	39.06	0.226525
aggregate-gpt-4o	meta-question_id	4	19	4	15	0	0	21.05	0.0	0.0	89.09	0.38617
aggregate-gpt-4o	meta-question_id	5	12	6	6	0	0	50.0	0.0	0.0	43.1	0.12967
aggregate-gpt-4o	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	43.11	0.153328
aggregate-gpt-4o	meta-question_id	7	13	2	11	0	0	15.38	0.0	0.0	63.89	0.20498
aggregate-gpt-4o	meta-question_id	8	18	9	9	0	0	50.0	0.0	0.0	80.37	0.294197
aggregate-gpt-4o	meta-question_id	9	8	3	5	0	0	37.5	0.0	0.0	48.94	0.18948
aggregate-gpt-4o	category	harmony	39	14	25	0	0	35.9	0.0	0.0	193.2	0.688658
aggregate-gpt-4o	category	pitch	35	13	22	0	0	37.14	0.0	0.0	147.96	0.60102
aggregate-gpt-4o	category	rhythm	38	10	28	0	0	26.32	0.0	0.0	175.3	0.669168
aggregate-gpt-4o	subcategory	harmony-absolute	18	9	9	0	0	50.0	0.0	0.0	80.37	0.294197
aggregate-gpt-4o	subcategory	harmony-relative	21	5	16	0	0	23.81	0.0	0.0	112.83	0.39446
aggregate-gpt-4o	subcategory	pitch-absolute	17	4	13	0	0	23.53	0.0	0.0	71.84	0.237217
aggregate-gpt-4o	subcategory	pitch-relative	18	9	9	0	0	50.0	0.0	0.0	76.12	0.363802
aggregate-gpt-4o	subcategory	rhythm-absolute	19	4	15	0	0	21.05	0.0	0.0	89.09	0.38617
aggregate-gpt-4o	subcategory	rhythm-relative	19	6	13	0	0	31.58	0.0	0.0	86.21	0.282998
aggregate-gpt-4o	skill	cadence recognition	8	3	5	0	0	37.5	0.0	0.0	48.94	0.18948
aggregate-gpt-4o	skill	chord recognition	18	9	9	0	0	50.0	0.0	0.0	80.37	0.294197
aggregate-gpt-4o	skill	interval recognition	9	1	8	0	0	11.11	0.0	0.0	37.06	0.137277
aggregate-gpt-4o	skill	interval statistics	9	8	1	0	0	88.89	0.0	0.0	39.06	0.226525
aggregate-gpt-4o	skill	note length	19	4	15	0	0	21.05	0.0	0.0	89.09	0.38617
aggregate-gpt-4o	skill	pitch recognition	11	2	9	0	0	18.18	0.0	0.0	44.14	0.141432
aggregate-gpt-4o	skill	pitch statistics	6	2	4	0	0	33.33	0.0	0.0	27.7	0.095785
aggregate-gpt-4o	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	43.11	0.153328
aggregate-gpt-4o	skill	time signature	12	6	6	0	0	50.0	0.0	0.0	43.1	0.12967
aggregate-gpt-4o	skill	tonality recognition	13	2	11	0	0	15.38	0.0	0.0	63.89	0.20498
aggregate-gpt-4o	rel/abs	absolute	54	17	37	0	0	31.48	0.0	0.0	241.3	0.917585
aggregate-gpt-4o	rel/abs	relative	58	20	38	0	0	34.48	0.0	0.0	275.15	1.04126
