Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-2.5-flash-lite	OVERALL	ALL	218	75	143	0	0	34.4	0.0	0.0	2494.7	0.464458
google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	76	22	54	0	0	28.95	0.0	0.0	737.6	0.066274
google/gemini-2.5-flash-lite	submodality	symbolic.musicxml	72	28	44	0	0	38.89	0.0	0.0	673.39	0.267665
google/gemini-2.5-flash-lite	submodality	visual.short.png	70	25	45	0	0	35.71	0.0	0.0	1083.72	0.130519
google/gemini-2.5-flash-lite	piece_id	Anonymous_AusMeinesHerzensGrunde	32	8	24	0	0	25.0	0.0	0.0	461.02	0.095023
google/gemini-2.5-flash-lite	piece_id	Bach_IchStehAnDeinerKrippe	12	3	9	0	0	25.0	0.0	0.0	131.68	0.026121
google/gemini-2.5-flash-lite	piece_id	Crueger_AufAufMeinHerzMitFreuden	35	10	25	0	0	28.57	0.0	0.0	271.37	0.070062
google/gemini-2.5-flash-lite	piece_id	Drese_JesuGehVoran	15	5	10	0	0	33.33	0.0	0.0	297.02	0.025235
google/gemini-2.5-flash-lite	piece_id	Gesius_BefiehlDuDeineWege	18	6	12	0	0	33.33	0.0	0.0	136.2	0.029315
google/gemini-2.5-flash-lite	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	30	12	18	0	0	40.0	0.0	0.0	341.03	0.063156
google/gemini-2.5-flash-lite	piece_id	Jan_DuGrosserSchmerzensmann	11	6	5	0	0	54.55	0.0	0.0	161.2	0.019422
google/gemini-2.5-flash-lite	piece_id	Telemann_DerLiebenSonneLichtUndPracht	26	8	18	0	0	30.77	0.0	0.0	288.78	0.063729
google/gemini-2.5-flash-lite	piece_id	Vulpius_ChristusDerIstMeinLeben	21	11	10	0	0	52.38	0.0	0.0	224.64	0.040057
google/gemini-2.5-flash-lite	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	18	6	12	0	0	33.33	0.0	0.0	181.76	0.032338
google/gemini-2.5-flash-lite	is_nota_correct	0	180	63	117	0	0	35.0	0.0	0.0	2131.45	0.387112
google/gemini-2.5-flash-lite	is_nota_correct	1	38	12	26	0	0	31.58	0.0	0.0	363.25	0.077346
google/gemini-2.5-flash-lite	meta-question_id	0	17	6	11	0	0	35.29	0.0	0.0	139.85	0.031908
google/gemini-2.5-flash-lite	meta-question_id	1	19	10	9	0	0	52.63	0.0	0.0	116.6	0.031326
